#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,とある科学の超電磁砲: 1章 チャプター36,
#,,,二人の約束,
#,,,#【郵便局】,
#,,,#アニメシーン画像より。強盗Ｂ、鉄球をバラ撒く。,
1,強盗Ｂ,999000101,なら、ここで死ね。,1,10,
#,,,#アニメシーン画像より。ギョッとする黒子。,
2,白井 黒子,5002001,――！？,1,15,
#,,,#アニメシーン画像より。勝ち誇る強盗Ｂ。,
3,強盗Ｂ,999000101,一度に一つしか投げられないとは言ってないぞ！,1,10,
#,,,#アニメシーン画像より。鉄球に映り込む黒子。,,,
#,,,#鉄球が蒸発する。,,,
#,,,#二人の間に電流が迸る。,,,
#,,,#黒子、我に返る。,,,
#,,,#強盗、呆然とする。,,,
#,,,#突っ込んでいく黒子。,,,
#,,,#押される強盗。,,,
4,強盗Ｂ,999000101,しまッ……！？,1,10,
#,,,#アニメシーン画像より。黒子、強盗Ｂを投げ飛ばす。,
#,,,#グハッとなる強盗。,
5,強盗Ｂ,999000101,ぐはっ！！,1,10,
#,,,#アニメシーン画像より。黒子と強盗、互いに構える。,
#,,,#冷徹な黒子。,
6,白井 黒子,5002001,あなたの鉄球とわたくしの<ruby>空間移動</ruby>、<br>どっちが速いか勝負します？,1,11,
#,,,#アニメシーン画像より。顔を押さえられた強盗Ｂ。,
#,,,#強盗、崩れる。,
7,強盗Ｂ,999000101,……クソッ。,1,10,
#,,,#アニメシーン画像より。黒子、力を抜く。,
#,,,#力が抜ける初春。,
8,初春 飾利,36002001,はふぅ……。,1,11,
#,,,#アニメシーン画像より。微笑む御坂。,
#,,,#時間経過、郵便局前にアンチスキルが集まっている。,
#,,,#固法、治療を受けている。,
#,,,#初春、黒子の足のベルトを締めている。,
9,初春 飾利,36002001,やっぱり白井さんはすごいです。<br>本当に一人で解決しちゃうなんて。,1,12,
10,白井 黒子,5002001,…………。,1,10,
#,,,#アニメシーン画像より。回想・迸る電流。,
#,,,#回想・驚く黒子。,
11,白井 黒子,5002001,（あれは一体……？）,1,10,
#,,,#アニメシーン画像より。考えている黒子。,
12,初春 飾利,36002001,私、約束します。,1,10,
#,,,#アニメシーン画像より。黒子の前に立つ初春。,
13,初春 飾利,36002001,己の信念に従い、正しいと感じた行動をとるべし。,1,10,
#,,,#アニメシーン画像より。初春、アップ。,
14,初春 飾利,36002001,私も自分の信じた正義はけっして曲げません。<br>何があってもへこたれず、,1,10,
15,初春 飾利,36002001,きっと白井さんのような<ruby>風紀委員</ruby>になります！,1,12,
#,,,#アニメシーン画像より。黒子、目を閉じ。,
16,白井 黒子,5002001,その約束、わたくしにもさせてくださいな。,1,11,
17,初春 飾利,36002001,えっ？,1,15,
#,,,#アニメシーン画像より。包帯を巻いた手。,
#,,,#微笑む固法。,
18,白井 黒子,5002001,今までなんでも一人でできるつもりでいましたけど、<br>それはとんだ思い違い。,1,14,
#,,,#アニメシーン画像より。黒子、初春に手を差し出す。,
19,白井 黒子,5002001,ですから、これからは二人で一緒に<br>一人前になってくださいます？,1,11,
#,,,#アニメシーン画像より。黒子と初春、握手。,
20,初春 飾利,36002001,はいっ！,1,12,
#,,,#END,
