#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,滝壺 理后,20000101,南南東から信号が来てる……。<br>ふわぁ～……。,900200015,11,
2,滝壺 理后,20000101,いたっ……あ、ごめんなさい。<br>ボーっとしてました。,900200027,16,ef_com_00100_002_001_00,
3,滝壺 理后,20000101,――今ぶつかったカップル、仲良さそう。<br>二人とも、私のことなんか全然目に入ってないみたい。,0,20,
4,滝壺 理后,20000101,女の子が、男の子の腕に、しっかりつかまって。<br>すごく頼りにしてるんだろうね。いいね。,0,10,
5,滝壺 理后,20000101,お幸せにね～。私はそんな君たちを応援してるよ。,0,10,,
6,滝壺 理后,20000101,私にも、いつか……あんな風に頼りにできる男の人が<br>現れたりするのかなあ。想像つくようなつかないような。,900200006,11,,
7,滝壺 理后,20000101,まあ、多分、私なんかを好きになってくれる人は、<br>そんなにいないと思うけど……でも、もしも。,0,20,
8,滝壺 理后,20000101,もしも、こんな私をああやって守ってくれる男の人が<br>いたら……。,0,11,
9,滝壺 理后,20000101,私……多分、その人のことしか考えられなくなるかも。<br>その人のためなら……なんでもしちゃうかも。,0,20,
10,滝壺 理后,20000101,なんでだろ、そんな予感がする。……ついでに、その人に<br>私以外の人がちょっかいだしたら、すごく怒る気がする。,0,20,
11,滝壺 理后,20000101,……やだな、私ったら。そんな人、いもしないのに。<br>なんでこんなこと考えちゃったのかな、変なの。,900200002,17,
12,滝壺 理后,20000101,でも、なんか……いつかきっと出会える気がする。<br>というか、もう出会ってたりして……。,0,20,
13,滝壺 理后,20000101,なんてね、そんなはずないよね。あはは。,0,20,
#,,,#SE:着信音,
14,滝壺 理后,20000101,……ん。着信だ。あ、はまづらからだ。もしもし？<br>……あ、うん、みんなもう集まったんだ。今行くよ。,0,12,ef_com_00100_002_001_00,
