#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター09,
,,,レールチェンジ,,,
#,,,（＊学園都市、街並み、夜の背景）,
1,上条 当麻,1000201,はあ、はあ。,1,16,
2,上条 当麻,1000201,……きはら、かぐん？,1,14,
3,菱形 幹比古,256000101,うわっ、ああ、うわああああああああああああああああ<br>あああああ！？,1,22,
4,菱形 幹比古,256000101,何だよこれっ、何だ！？,1,22,
5,菱形 幹比古,256000101,……僕達が怒ったり笑ったりする事くらい分かるだろ。<br>うん、何でこんな事ができるんだ！？,1,16,
6,菱形 幹比古,256000101,蛭魅に、うん、僕の妹にだけは近づくんじゃないっ、こ<br>の人殺しがあ！！,1,22,
7,菱形 幹比古,256000101,僕は、絶対に。,1,16,
8,菱形 幹比古,256000101,たった一人の家族を守るんだあ！！！！！！,1,13,
9,上条 当麻,1000201,っ。,1,16,
10,駒場 利徳,65000101,納得している者から始めれば良いだろう。,1,10,
11,上条 当麻,1000201,お前……。,1,10,
12,駒場 利徳,65000101,頼む。,1,11,
13,駒場 利徳,65000101,あるいは自分で済ませても構わないが、その場合でも見<br>届けてほしい。殺してもらった方がより確実だが。,1,10,
14,上条 当麻,1000201,いやだよ……。,1,14,
15,上条 当麻,1000201,だって、お前がいなければ。,1,14,
16,上条 当麻,1000201,お前達が最初に助けてくれなかったら、俺はサーティー<br>ンデスに勝てず殺されていたのに……ッ！！,1,20,
17,上条 当麻,1000201,命の大切さが分かっているから助けてくれたんだろ。死<br>んでやり直しじゃダメだって！　なのに！！,1,20,
18,駒場 利徳,65000101,酷な事を頼んでいるのは承知の上だ。,1,11,
19,駒場 利徳,65000101,でもこれ以外に、大切な人達は守れそうにない。,1,16,
20,？？？,999000101,チッ。,1,20,
21,一方通行,13000901,つまらねェ事やってンじゃねェよ。,1,23,
22,一方通行,13000901,誰がやってもケリはつくンだろ？　……だったらこォい<br>う仕事は俺の領分だ。,1,11,
23,一方通行,13000901,俺が殺す。きっちりなァ。,1,12,
24,上条 当麻,1000201,いやだっ、やめろ！！　こんな事しなくたってきっと何<br>か、他にも解決方法はあるはずだ！！,1,20,
25,上条 当麻,1000201,他人なんかじゃない。,1,20,
26,上条 当麻,1000201,助けてもらったんだ、実際に！　誰が何と言おうが命の<br>恩人なんだよ！！,1,20,
27,一方通行,13000901,……うるせェな。,1,20,
28,一方通行,13000901,こいつらは絶対に幻想なンかじゃねェ。だからこそ、オ<br>マエの出番なンかどこにもねェンだよ。,1,13,
29,上条 当麻,1000201,それでも……。,1,11,
30,上条 当麻,1000201,こいつらを見捨てるかどうかは俺の選択だ！！　お前な<br>んかに決められてたまるかあ！！！！！！,1,13,
#,,,（＊バトル。ＶＳ一方通行。勝利すると以下の会話イベントへ）,
#,,,END,
