#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,オルソラ,28000101,…………。,900280015,20,,
2,神裂 火織,25000101,？　オルソラ、どうかしましたか？,900250029,10,ef_com_00100_002_002_00,
3,オルソラ,28000101,いえ、少し気になることがございまして。,900280004,10,
4,神裂 火織,25000101,気になることとは？,900250004,10,ef_com_00100_002_002_00,
5,オルソラ,28000101,神裂さんはやはり今も<br>はいていないのでございますか？,900280019,12,
6,神裂 火織,25000101,ぶっ……！！　な、何を言い出すんですか貴女は！,900250017,20,ef_com_00100_002_003_00,
7,神裂 火織,25000101,大体あれは和服を着る時だけです！,0,20,ef_com_00100_002_003_00,
8,神裂 火織,25000101,日本では和服を着る際、身体のラインを隠し、<br>着物の形を綺麗に出すために,0,20,ef_com_00100_002_003_00,
9,神裂 火織,25000101,下着を着けないという文化があってですね……！,0,20,ef_com_00100_002_003_00,
10,オルソラ,28000101,まぁ、そうだったのでございますね。,900280009,12,
11,オルソラ,28000101,確かに神裂さんの身体のラインは綺麗ですが<br>とてもはっきりしておられます。,0,12,
12,オルソラ,28000101,下着を着けたまま和服を着るとなると、<br>少々大変なシルエットになりそうでございますね。,900280013,12,
13,神裂 火織,25000101,わかって頂けましたか……。,900250006,12,
14,オルソラ,28000101,ええ。神裂さんが所謂ナイスバディだということが<br>とてもよくわかったのでございます。,900280003,12,ef_com_00100_002_007_00,
15,神裂 火織,25000101,そ、そういう話ではないのですが……。,900250016,14,ef_com_00100_002_006_00,


