#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,HARD説明,
,,,#,,,
1,月詠 小萌,6000101,組織とは、所属したプレイヤー同士が<br>交流する事のできる機能です。,900060034,10,
2,月詠 小萌,6000101,組織は、自分がリーダーとなって作ったり、<br>他の人が作った組織に入ることで、所属できます。,,20,
3,月詠 小萌,6000101,所属した後は、他のプレイヤーを組織にスカウトして<br>メンバーを増やしていくこともできるですよー！,900060047,12,
101,月詠 小萌,6000101,また、組織に所属すると、消費したスタミナ量に応じて<br>『組織ポイント』が貯まるようになります。,900060050,10,
102,月詠 小萌,6000101,貯まった『組織ポイント』を所属する組織に納めると、<br>報酬として『組織コイン』が貰えるのですよー！,900060055,21,
201,月詠 小萌,6000101,さらに！　貯めた『組織ポイント』を組織に納めることで<br>『組織レベル』があがっていきます。,900060045,22,
202,月詠 小萌,6000101,『組織レベル』が上がると所属メンバー全員に<br>メリットがあるので、組織を育てるよう頑張りましょう！,900060046,10,
203,月詠 小萌,6000101,それでは、みんなで協力して<br>魅力的な組織を作っていきましょう！,900060052,12,























