#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: おみくじログインボーナス演出 チャプター08,
#,,,食蜂 操祈,,,,
#,,,#【1月8日　5:00　～　1月9日　4:59】,
#,,,#【神社の参道／昼】,
1,食蜂 操祈,10000701,あらあら。やっと私の出番力ねぇ。１日１回のおみくじも<br>今日を入れてあと３回だけらしいわぁ。,900020130_001,10,
2,食蜂 操祈,10000701,良い物が貰えるようにぃ、<br>……応援してるんダゾ☆,900020130_002,12,
#,,,#【おみくじ結果：大吉の場合】,
5,食蜂 操祈,10000701,今日の運勢は大吉みたいね。今日は強運みたいだから、<br>一緒にいてあげても良いんダゾ☆,900020130_005,10,
#,,,#【結果に拘わらず共通の締め】,
7,食蜂 操祈,10000701,おみくじの残りのチャンスはあと２回。<br>明日来ないと脳筋女に怒られちゃうから気をつけてねぇ。,900020130_007,21,
#,,,#END,































































#,,,#END,


































































