#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター32：飛行機　ルチア　アンジェレネ　,
#,,,食後のデザート,
#,,,#SE（マウスのクリック音）,
1,アンジェレネ,33000101,何をしているのですか？,900330029,10,ef_com_00100_002_002_00,
2,ルチア,32000101,……シスター・アンジェレネ。,900320004,10,
3,ルチア,32000101,見ての通り、このパソコンというものを使って<br>ネット通販を試みているのです。,0,10,
4,アンジェレネ,33000101,ネット通販？,900330003,10,ef_com_00100_002_002_00,
5,ルチア,32000101,この画面に映っている商品を、店に出向くことなく<br>注文することが可能な便利システムです。,900320002,12,
6,アンジェレネ,33000101,店に行かなくても？　はっ、もしかして……！,900330004,10,ef_com_00100_002_001_00,
#,,,#SE（スカートを捲る音：バサァッ）,
7,ルチア,32000101,な、何をするのです！　シスター・アンジェレネ！,900320017,17,ef_com_00100_002_003_00,
8,アンジェレネ,33000101,あー！　やっぱりそうです！,900330024,13,ef_com_00100_002_001_00,
9,アンジェレネ,33000101,最近見覚えのない下着ばかり身につけてると思ったら、<br>こうして手に入れていたのですね！,0,13,
10,ルチア,32000101,べ、別に私がどんな下着を着けようと<br>シスター・アンジェレネには関係ないでしょう！,900320026,17,ef_com_00100_002_003_00,
