#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,みごとに勝利です！<br>勝利したのでランキングが上がりますね。,,10,
2,月詠 小萌,6000101,異能決戦での報酬はバトルの結果で貰えるもの<br>以外にもいろんな報酬が貰えるですよー。,,10,
3,月詠 小萌,6000101,自己最高ランキングに初めて到達したときに貰える<br>『ベストランク報酬』,,10,
4,月詠 小萌,6000101,毎日15:00の時点のランキング順位で獲得できる<br>『デイリー報酬』,,10,
5,月詠 小萌,6000101,バトルの勝敗で増えていくプライズメーター<br>が貯まると貰える『プライズ報酬』,,10,
6,月詠 小萌,6000101,その他にも時間経過で貯まる『決戦コイン』を<br>この画面に来たときに受け取ったりできます。,,10,
7,月詠 小萌,6000101,報酬で貰える『決戦コイン』は<br>交換所で使えますよー。,,10,
8,月詠 小萌,6000101,それでは交換所に行ってみましょう。,,10,









































