#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,仮想試練は最大15組のペアでチームと控えメンバーを<br>編成して複数のステージに挑戦する勝ち抜きバトルです。,,10,
2,月詠 小萌,6000101,挑戦中はバトル終了後もHP、SPゲージ、<br>戦闘不能状態を引き継いでいきます。,,10,
3,月詠 小萌,6000101,ステージの合間では最初に編成したチームの中から<br>バトルに出るメンバーを入れ替えできるですよー。,,10,
4,月詠 小萌,6000101,ただし、ペアの組み合わせは変更できないので<br>よく考えて編成してくださいねー。,,10,
5,月詠 小萌,6000101,バトルに負けた場合、控えのメンバーが残っていれば<br>エネミーのHPはそのままで再度挑戦ができます。,,10,
6,月詠 小萌,6000101,チーム全体のバランスが大切になるので、<br>いろいろと試してみてくださいねー。,,10,
7,月詠 小萌,6000101,報酬で貰える『試練コイン』は<br>交換所で使えますよー。,,10,
8,月詠 小萌,6000101,それでは交換所に行ってみましょう。,,10,












































