#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,周年記念カウントダウン,
#,,,ナレーション始まり,
#,,,#【背景表示】,
1,,,『とある魔術の禁書目録 幻想収束』もついに１周年。<br>いつも遊んで頂き、誠にありがとうございます！,1,10,
2,,,今回、皆様への感謝を伝える<br>1stAnniversaryリレーメッセージを開催させて頂きます！,1,11,
3,,,期間中は毎日キャラクターが日替わりで<br>１周年の御礼メッセージをお届けにまいります。,1,10,
4,,,キャラクターからのメッセージは<br>ボイス付きとなっております♪,1,10,
5,,,さらに、毎日のメッセージの最後で<br>『1stAnniversaryコイン』を１枚プレゼント！,1,10,
6,,,誰からコメントが届いているかは当日までのお楽しみ！<br>ぜひ、７月いっぱい毎日お楽しみくださいね♪,1,10,
#,,,#END,























































































































