#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,レイドイベント: 劇場版レイドリメイク チャプター06,
#,,,エンデュミオンの奇蹟,,,,
#,,,#【画面カット】①<br>魔法陣コアの部屋 インデックスなめレディリー,,,,
135,レディリー,71000101,！！　この揺れは……！<br>まさか、エンデュミオンをパージする気！？,400420105_035,15,,
136,インデックス,2000101,……今ならやれる。<br>折り重なった術式を解いて、崩す方法を見つける！,400420105_036,20,,
#,,,#【画面カット】②基部の破壊に気付いたアウラと上条,,,,
137,シャットアウラ,70000101,これは……？<br>エレベーターの基部を破壊しただとっ。,400420105_037,21,,
138,上条 当麻,1000101,他の連中が頑張ってくれたみたいだな……。<br>これで分かっただろ。できない事なんかないんだよ。,400420105_038,10,,
139,シャットアウラ,70000101,オリオン号の機長だった父はあの事故で犠牲になった。<br>私も、他の乗客も、みんな助かったのに……。,400420105_039,14,
140,シャットアウラ,70000101,だから私は奇蹟を否定する！　奇蹟などに頼らず、<br>自分の力のみで戦った父の意志を継ぐためにも！,400420105_040,13,
#,,,#【画面カット】③アウラに語る上条の顔アップ,
141,上条 当麻,1000101,お前の親父さんは、お前や乗客を守ろうとした。<br>限界までやれば何とかなる、そう信じて頑張ったはずだ。,400420105_041,20,
142,上条 当麻,1000101,だからこそお前やみんなも助かったんじゃないのかっ。<br>奇蹟は起こった。お前の親父さんが奇蹟を起こしたんだ！,400420105_042,20,
143,上条 当麻,1000101,それを否定するって事は、お前自身がもう一度<br>親父さんを殺す事になるんじゃねぇのかよ！,400420105_043,13,
144,シャットアウラ,70000101,！！,400420105_044,21,
#,,,#【画面カット】④上条 着信に気付きポケットに手を当てる,,,,
#,,,#【画面カット】⑤上条の携帯を鳴らしている土御門,
1,土御門 元春,3000701,頼む……出てくれカミやん。,1,16,,
#,,,#【画面カット】⑥携帯を気にして視線を向ける上条,
#,,,#【画面カット】⑦嘲笑うアウラ,,,,
145,シャットアウラ,70000101,……、お前達の悪あがきも無駄だったようだな。<br>パージが遅かった。地に落ちるぞ、エンデュミオンは。,400420105_045,13,
146,シャットアウラ,70000101,フ、アハハハ！　何が奇蹟だ。なら今すぐ救ってみせろ！<br>地上に落ちるエンデュミオンから全てを救ってみせろよ！,400420105_046,21,
#,,,#【画面カット】⑧銃を突きつけるアウラ,,,,
147,シャットアウラ,70000101,その女も、お前も！<br>奇蹟を肯定し、秩序を乱す者は全て！！,400420105_047,21,
#,,,#【画面カット】⑨<br>上条 携帯のボタンを押してアリサの歌を流す,,,,
#,,,#【画面カット】⑩歌に苦しみながら後方によろけるアウラ,
2,シャットアウラ,70000101,……っ！？　この歌、は……！,1,15,,
