#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_03 チャプター08,
,,,泥沼,,,
#,,,（＊背景を学園都市、公園、昼間のものに変更）,
15,シティマカーブル,242000101,……あ、あの人達何ナノ？　学園都市って色んな職業があ<br>りすぎでしょ。,1,15,
16,上条 当麻,1000201,はあ、はあ！！　こ、ここまで来れば大丈夫か？　もうみ<br>んな撒いたか？？？,1,15,
17,シティマカーブル,242000101,いつまでもは保たないわ。バリケードのこっち側は彼らリ<br>ターンのテリトリーなんだから。,1,16,
18,上条 当麻,1000201,かと言って、今からバリケードの向こう側に戻るのも怖い<br>ぞ……。殺せ殺せモードなのは変わらないんだし。,1,16,
19,上条 当麻,1000201,ヤバいよ板挟みだよ。マジで考えなしに選びたくない場面<br>だ。,1,10,
20,シティマカーブル,242000101,ねえ。,1,10,
21,上条 当麻,1000201,？,1,10,
22,シティマカーブル,242000101,そもそも、あなたはどう思っている訳ナノ？　今のこの状<br>況……。,1,10,
23,上条 当麻,1000201,そりゃ、まあ。,1,11,
24,上条 当麻,1000201,どんな形であれ、ほんとに人が生き返ったのならきちんと<br>保護しないとまずいと思う。,1,10,
25,シティマカーブル,242000101,……。,1,12,
26,シティマカーブル,242000101,あれ？　ちょっと待って。『ほんとに』ってわざわざ区切<br>った理由は？,1,20,
27,上条 当麻,1000201,だって、今のところ死神っぽいのはサーティーンデスがい<br>るけどさ。,1,10,
28,上条 当麻,1000201,でも結局これがどういう現象かきちんと調べてないだろ。,1,23,
#,,,END,









