#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,レイドイベント: 劇場版レイドリメイク チャプター05,
#,,,奇蹟をこの手に,,,,
#,,,#【画面カット】①ステーション上部外観で爆発,,,,
#,,,#【学園都市・駅前・昼】,
101,初春 飾利,36000101,ッ！？　今、宇宙エレベーターの<br>中継ステーション付近で爆発があったみたいです……！,400420105_001,15,,
102,初春 飾利,36000101,そのせいで応力バランスが崩壊しちゃってます。<br>このままだとエンデュミオンは倒壊して地上に倒れます！,400420105_002,13,,
#,,,#【場面転換】,
#,,,#【画面カット】②アリサが目を開ける,
#,,,#【画面カット】③<br>アリサなめ照明が落ちた会場を目の当たりにする,
1,観客Ａ,999000101,何だ今の爆発……。,1,10,,
2,観客Ｂ,999000101,まさか、事故？　おい、ここ宇宙だぞ……。,1,10,,
3,観客Ｃ,999000101,ええっ、どうなっちゃうの？　大丈夫なの？　,1,10,,
#,,,#【画面カット】④アリサの立ち上がる足,
#,,,#【画面カット】⑤立ち上がったアリサが顔を上げ髪が舞う,
#,,,#【画面カット】⑥両手を広げ歌うアリサ,
4,観客Ａ,999000101,係員何してる！　早く開けろ！,1,10,,
5,観客Ｂ,999000101,！！　これは……。,1,10,,
6,観客Ｃ,999000101,歌……？,1,10,,
#,,,#【場面転換】,
#,,,#【画面カット】⑦土御門と携帯で話す上条なめインデックス,
7,上条 当麻,1000101,エンデュミオンが崩壊する！？,1,15,,
8,土御門 元春,3000701,「ああ、どうやら避けられん状況らしい。こっちでも<br>できるだけの事を試してみるぜよ。だが――」,1,10,,
9,上条 当麻,1000101,！？　……土御門！,1,15,,
#,,,#【画面カット】⑧<br>インデックスに二手に分かれようと提案する上条,
112,上条 当麻,1000101,インデックス、どうやら色々とマズい状況みたいだ。<br>時間がない……二手に分かれよう。,400420105_012,11,
113,上条 当麻,1000101,お前は魔術の起動を止めてくれ。<br>俺は、アリサの所へ行く。,400420105_013,10,
#,,,#【画面カット】⑨アリサを助けようと意気込むインデックス,
114,インデックス,2000101,！　……ねぇ、とうま。<br>絶対にアリサを助けようねっ。,400420105_014,10,,
115,上条 当麻,1000101,ああ、分かった。,400420105_015,12,,
#,,,#【場面転換】,
#,,,#【画面カット】⑩<br>パソコンに向かっている初春　※後方にパソコンを見る佐天,
10,初春 飾利,36000101,駄目です。やっぱり崩壊は避けられないみたいです……！,1,16,,
103,御坂 美琴,4000102,「そんなっ……！<br>何か止める方法はないの？」,400420105_003,20,,
104,初春 飾利,36000101,……えっと、緊急用のパージシステムがあります。<br>三ヶ所ある爆砕ボルトを全て手動で点火させれば……。,400420105_004,13,
105,御坂 美琴,4000102,「今は何でもやってみるしかないわ！<br>一ヶ所は私が引き受ける！」,400420105_005,13,
#,,,#【学園都市・駅前・昼】,
11,白井 黒子,5002101,お姉様！　わたくしも今からそちらに……！,1,10,,
12,白井 黒子,5002101,……あ、ぐっ……。,1,16,
13,初春 飾利,36000101,白井さん！,1,15,
14,初春 飾利,36000101,まだ怪我が治ってないんですから、<br>無理しないでください！,1,14,,
106,黄泉川 愛穂,7000701,もう一ヶ所は、こっちで引き受けるじゃん。,400420105_006,20,
107,土御門 元春,3000701,「もしもーし！　話は聞いたぜよ。<br>三つ目が何とかできる方法があるんだにゃあ」,400420105_007,10,,
108,黄泉川 愛穂,7000701,誰だ？,400420105_008,20,ef_com_00100_002_002_00,
109,御坂 美琴,4000102,「誰だか知らないけど、<ruby>警備員</ruby>の暗号通信に割り込める<br>って事はただの野次馬やイタズラじゃないわよね！」,400420105_009,20,,
#,,,#【画面カット】⑪ステイルの顔アップ,
110,土御門 元春,3000701,「……ってな訳でステイル。ひとつ頼むぜい」,400420105_010,12,
111,ステイル,24000101,……仕方ない、使われてやる。,400420105_011,13,,
#,,,#【場面転換】,
#,,,#【画面カット】⑫アリサの歌に苦しむアウラの横顔,
116,シャットアウラ,70000101,うるさい……うるさいんだっ。<br>この<ruby=ノイズ>歌声</ruby>が奇蹟を……止めてやる……絶対にっ！,400420105_016,21,,
#,,,#【画面カット】⑬アリサのステージを爆破するアウラ,,,,
117,シャットアウラ,70000101,ぐッ……めろ！<br>その歌を、やめろぉおおおッ！,400420105_017,21,
118,鳴護 アリサ,69000701,きゃああっ！？,400420105_018,16,,
119,上条 当麻,1000101,アリサ！！,400420105_019,20,,
#,,,#【画面カット】⑭アリサをお姫様抱っこする上条,,,,
120,上条 当麻,1000101,……間一髪か。<br>ぐっ……。,400420105_020,16,
121,鳴護 アリサ,69000701,当麻くん……！,400420105_021,15,,
#,,,#【暗転】,
#,,,#【画面カット】⑮<br>魔法陣のコアの部屋 俯瞰 レディリーとインデックス,
122,インデックス,2000101,こんな無茶な術式は初めて見たよ。<br>回路が乱れてるどころじゃない。地球を壊しちゃう気？,400420105_022,20,,
123,レディリー,71000101,……禁書目録ね？　あなたなら分かるでしょ。<br>魔術によって呪われた者の気持ちが。,400420105_023,11,,
124,レディリー,71000101,ようやく抜け出せるの、この地獄から。<br>絶対に……死んでやるのよ。,400420105_024,21,
125,インデックス,2000101,……無理だよ。<br>それをやってもあなたは死ねない。私には分かる。,400420105_025,20,,
#,,,#【場面転換】,
#,,,#【画面カット】⑯防衛ロボを吹き飛ばしながら走る御坂,,,,
15,御坂 美琴,4000102,こんのおおおぉっ……！！,1,13,,
#,,,#【画面カット】⑰柱に隠れる黄泉川,,,,
16,黄泉川 愛穂,7000701,くっ……早くしないと全部手遅れになるじゃん！,1,16,,
#,,,#【画面カット】⑱<br>1:15:15頃、ホウキにまとった水を振るうメアリエ,,,,
17,メアリエ,74000101,はぁっ！,1,13,
#,,,#【画面カット】⑲<br>1:15:16頃、風を出すジェーン,,,,
18,ジェーン,72000101,ふんっ！,1,13,
#,,,#【画面カット】⑳<br>1:15:18頃、土柱を生み出すマリーベート,,,,
19,マリーベート,73000101,はぁっ！,1,13,
#,,,#【画面カット】㉑<br>ステイルと弟子たちが集まる　周囲には回転刃付きの防衛ロボ,
20,ステイル,24000101,油断するな、来るぞ！,1,13,,
#,,,#【場面転換】,
#,,,#【画面カット】㉒アリサを抱えながら膝を突く上条,
21,上条 当麻,1000101,ぐっ……！,1,16,,
#,,,#【画面カット】㉓上条とアリサに銃を構えるアウラ,,,,
22,上条 当麻,1000101,くっ。,1,16,
#,,,#【画面カット】㉔アリサが手を広げて上条の前に立つ<br>※上条、アリサが後ろ姿　奥にアウラ,
23,上条 当麻,1000101,やめろ、シャットアウラ……！,1,16,
24,シャットアウラ,70000101,こいつの存在がレディリーの計画を生み出した！,1,13,,
25,シャットアウラ,70000101,その裏の犠牲も……！<br>こいつの歌が、こいつの起こす奇蹟が人を惑わせる！,1,13,
26,シャットアウラ,70000101,だから殺す……ッ！,1,13,
#,,,#【画面カット】㉕複雑な笑みを浮かべるアリサ,
27,鳴護 アリサ,69000701,……。,1,12,,
28,シャットアウラ,70000101,ッ……！　何故だ、何故笑う！！,1,13,
#,,,#【画面カット】㉖アリサを殴るアウラ,,,,
29,鳴護 アリサ,69000701,きゃああっ！？,1,16,,
#,,,#【場面転換】,
#,,,#【画面カット】㉗左腕を押さえるステイルとメアリエたち,
30,マリーベート,73000101,大丈夫ですか？　,1,14,,
31,ジェーン,72000101,ししょー？,1,14,
32,ステイル,24000101,気にするな、ただのかすり傷だ。,1,16,,
#,,,#【画面カット】㉘爆砕ボルトの前に現れる自動人形（女）,
33,マリーベート,73000101,……！　ししょー、ここは私達が！,1,13,,
34,ステイル,24000101,何を言っている。,1,13,
#,,,#【画面カット】㉙手に炎を出すステイル,,,,
126,ステイル,24000101,僕だって頼まれた仕事くらい、<br>最後までやり遂げないとね。,400420105_026,10,,
#,,,#【画面カット】㉚黄泉川から通信を受ける初春たち,
127,黄泉川 愛穂,7000701,「こちら黄泉川、すまない。<br>このままじゃ、たどり着けそうもないじゃん」,400420105_027,16,,
#,,,#【画面カット】㉛御坂の前に大量の防衛ロボが立ちはだかる,
128,御坂 美琴,4000102,こっちも、あとちょっとだってのに<br>防衛用のロボットが、こんなに……！？,400420105_028,21,,
129,御坂妹,21000101,大丈夫です。構わずスリーカウントで<br>点火してください、とミサカはお願いしてみます。,400420105_029,10,,
#,,,#【画面カット】㉜超電磁投射砲によって破壊される防衛ロボ,,,,
#,,,#【画面カット】㉝<br>超電磁投射砲 実験装備型を装備した御坂妹と妹達,
