#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター09：駅周辺　初春 飾利　佐天 涙子　,
#,,,君を守るもの,
1,佐天 涙子,37000101,なんか、白井さん、最近怪我が多いよねえ。<br><ruby>風紀委員</ruby>って、ほんとに大変だなあ……。,900370015,14,ef_com_00100_002_006_00,
2,初春 飾利,36000101,白井さんは、自分のことを省みずに、目の前の目標に<br>一直線に飛び込んでいくので……私も心配なんです。,900360005,14,ef_com_00100_002_004_00,
3,佐天 涙子,37000101,うん……そうだね。<br>あたしはそれに……初春のことも結構心配だよ。,900370006,11,
4,初春 飾利,36000101,私は後方支援や情報処理が中心ですから！<br>佐天さんも知っての通り、運動全般苦手ですし……。,900360008,16,ef_com_00100_002_003_00,
5,佐天 涙子,37000101,そーはいうけど、現場にだってフツーに出てるでしょ。<br>そんでもって結構無茶するのもあたしは知ってるんだぞ。,900370008,20,ef_com_00100_002_001_00,
6,初春 飾利,36000101,そんなことは……ないですけど……。<br>……でも心配して頂いてありがたいです。気をつけます。,900360012,11,
7,佐天 涙子,37000101,うん。そんな小さい体とカワイイぱんつで、<br>あんまり危ない事するんじゃないぞ。,900370006,10,ef_com_00100_002_000_00,
8,初春 飾利,36000101,ぱんつは関係ないですから！　もー。,900360025,13,
9,佐天 涙子,37000101,いつか、どっかで、初春に……<br>お守り仕入れてきてあげる。もし、いいのあったらね。,900370002,12,
10,初春 飾利,36000101,お守り……？<br>あの、佐天さんがいつも持ってるような……？,900360008,15,ef_com_00100_002_002_00,
11,佐天 涙子,37000101,うん。あたしのは、ここに来る時にママがくれたの。<br>似たようなの、帰省した時とかに探してみるよ。,900370006,10,
12,初春 飾利,36000101,……嬉しいです、佐天さん。<br>それがあったら……多分、百人力です！,900360011,10,ef_com_00100_002_007_00,
13,佐天 涙子,37000101,あはは、大げさな。ま、非科学的だけどさー。<br>でも、持ってたら持ってたで、なんとなく心強いかもね。,900370002,12,
14,初春 飾利,36000101,……はい！　ありがとうございます！,900360014,12,ef_com_00100_002_000_00,

