#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: おみくじログインボーナス演出 チャプター10,
#,,,御坂 美琴　,,,,
#,,,#【1月10日　5:00　～　1月11日　4:59】,
#,,,#【神社の参道／昼】,
1,御坂 美琴　,4001001,待ってたわよ！　今回のおみくじもこれで最後！<br>さてどんな結果になるかしら？,900060138_001,12,
2,御坂 美琴　,4001001,良い結果になるのを、期待しているわ。,900060138_002,11,
#,,,#【おみくじ結果：小吉の場合】,
3,御坂 美琴　,4001001,小吉ね。おめでとう。<br>小さな幸せを積み重ねて行けると良いわね。,900060138_003,12,
#,,,#【結果に拘わらず共通の締め】,
7,御坂 美琴　,4001001,今日でおみくじは終わり。<br>改めて……今年も本当に宜しくね！,900060138_007,12,
#,,,#END,































































#,,,#END,


































































