#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,フレンダ,19000101,やっぱりやだー！　めんどくさぁーい！,900190015,13,ef_com_00100_002_005_00,
2,麦野 沈利,11000101,はぁ？　ちゃんと説明してあったのに<br>後から文句ばっかり言うんじゃないわよ。,900110024,13,ef_com_00100_002_005_00,
3,フレンダ,19000101,うっ……だってぇ！,900190027,14,,
4,麦野 沈利,11000101,大体、面倒だから報酬が高いんだって、<br>それくらい考えたらわかるでしょ。,900110018,10,
5,麦野 沈利,11000101,まぁ、やりたくないっていうならフレンダ抜きで<br>滝壺たちと山分けするから別にいいけどね。,0,11,
6,フレンダ,19000101,えっ！？,900190030,15,ef_com_00100_002_003_00,
7,麦野 沈利,11000101,フレンダがいなければ一人当たり……<br>へえ結構いい金額になるわね。,900110004,12,ef_com_00100_002_000_00,
8,フレンダ,19000101,待って待って！　やらないとは言ってないじゃない！<br>やるわよ、やればいいんでしょ～！,900190022,14,ef_com_00100_002_003_00,




