#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター13：常盤台中学　御坂 美琴　白井 黒子　,
#,,,女王のボイコット,0,
1,食蜂 操祈,10000101,久しぶりに体育の授業に出たらもう限界だわぁ……。<br>午後の授業はボイコットしちゃおうかしらぁ。,900100015,16,,
2,食蜂 操祈,10000101,派閥の会合用の部屋、空いてるぅ……。<br>授業中で誰もいないから、ここでまったりしよ。,900100005,10,ef_com_00100_002_001_00,
3,食蜂 操祈,10000101,……私専用の<ruby=きんせんちゃ>金萓茶</ruby>、どこに置いてあるのかしらぁ。<br>自分で出すことなんてないから、場所がわからなぁい。,0,14,ef_com_00100_002_004_00,
4,食蜂 操祈,10000101,も～……不便だわぁ。……仕方ないから、ここに<br>置いてある誰かの紅茶飲んじゃうゾ。,0,11,
5,食蜂 操祈,10000101,ていうか、お湯はどこにあるのかしらぁ？<br>お茶菓子もないしぃ……困ったわぁ。,900100023,14,ef_com_00100_002_006_00,
6,食蜂 操祈,10000101,あーんもぉ……喉が限界よぉ！<br>えーい、帆風にケータイで連絡ぅ……！,900100025,16,ef_com_00100_002_003_00,
7,食蜂 操祈,10000101,『紅茶のお湯とお菓子の場所はどこぉ？』と。……送信！,0,12,,
8,食蜂 操祈,10000101,……って、あ。今授業中だったわぁ。<br>しまった……つい習慣力で気軽に頼んじゃったゾ。,0,15,ef_com_00100_002_004_00,
9,食蜂 操祈,10000101,ま、授業中だし、気がつくわけないわねぇ。<br>仕方ない、昼寝しながら待つわぁ。,0,11,
10,食蜂 操祈,10000101,……なんか、走ってくる足音が聞こえるんだけど。<br>まさか、気がついて飛んできたとかぁ？,900100030,15,ef_com_00100_002_001_00,
11,食蜂 操祈,10000101,間違いなく向かってるわぁ……授業中にこんなことで<br>来るなんてぇ、もぉ。忠実すぎよぉ！,0,15,,
12,食蜂 操祈,10000101,……ま、頼んだ私が悪いんだけどぉ☆<br>来てくれてありがとう、助かったわぁ！,900100014,12,ef_com_00100_002_000_00,
