#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,ファミレス会議,,,,
#,,,#【ファミレス・店内・昼】,
1,打ち止め,22000101,えええええっ！？　ってミサカはミサカはあの人が<br>突然別の人に変身しちゃって大混乱してみたり！？,1,15,ef_com_00100_002_003_00,
2,御坂妹,21000101,<ruby>一方通行</ruby>がいきなり全くの別人に……？<br>あなたは誰ですか？　とミサカは説明を求めます。,1,15,,
3,上条 当麻,1002101,――次はアンタか。,1,10,,
4,御坂 美琴,4002801,――待って。この人さっき、深雪さんや七草さんと<br>普通に会話してた。正気なんじゃないの？,1,10,,
5,上条 当麻,1002101,マジかよ。……この世界で、<br>俺以外にも最初っから正気の奴がいるなんて……。,1,15,
6,インデックス,2002501,そんなことよりとうま！<br>私はこの爆盛日替わりランチが食べたいんだよ！,1,10,ef_com_00100_002_007_00,
7,上条 当麻,1002101,――のわッ！？　ちょっとインデックスさん、<br>今大事な話をだな……。,1,15,ef_com_00100_002_003_00,
8,司波 深雪,212000101,お兄様。こちらの上条さんに、<br>わたしも七草先輩も助けられたのです。,1,10,,
9,七草 真由美,215000101,私達、別人になりきっていたのよ。<br>彼女達があなたを別人だと勘違いしていたようにね。,1,11,
10,七草 真由美,215000101,……深雪さん、相当凄かったのよ。,1,12,
11,司波 深雪,212000101,お、お兄様っ！？<br>ダメです、それ以上聞かないでください……！,1,15,ef_com_00100_002_003_00,
12,司波 達也,211000101,……そうか、深雪と七草先輩が世話になったようだな。<br>感謝するよ。,1,10,
13,司波 達也,211000101,すでに深雪から聞いているみたいだが、俺は司波達也だ。<br>妹の方を呼ぶ時に紛らわしいだろうから達也で構わない。,1,10,
14,上条 当麻,1002101,俺は上条当麻。なら俺のことも当麻って呼んでくれ。,1,10,,
15,司波 達也,211000101,分かった。それにしても……、<br>不思議な能力だな――その『右手』。,1,10,,
16,上条 当麻,1002101,ああ、この右手は元からなんだが、<br>異能とかそういうものを打ち消しちまうんだ。,1,11,
17,司波 達也,211000101,当麻はＢＳ魔法師ということか？,1,10,
18,上条 当麻,1002101,びーえす……魔法？<br>いや、魔術って訳じゃないんだが……。,1,10,
19,司波 達也,211000101,魔術……変わった言い方をするな。<br>海外の古式魔法師の類なのか？,1,11,
20,インデックス,2002501,たぶん話が噛み合ってない気がするんだよ……。,1,14,ef_com_00100_002_006_00,
21,司波 深雪,212000101,美琴さん。<br>お兄様に能力をみせてもらえないかしら？,1,10,,
22,司波 深雪,212000101,お兄様、美琴さんを『眼』で見て頂けませんか？　,1,10,
23,御坂 美琴,4002801,こんな感じよ。,1,11,,
24,司波 達也,211000101,これは――……！<br>……今の能力は……？,1,15,ef_com_00100_002_001_00,
25,御坂 美琴,4002801,世間的に言えば超能力ってところかしら。,1,10,,
26,司波 深雪,212000101,お兄様、美琴さんや上条さん達は一体……？,1,10,
27,司波 達也,211000101,現段階で分かっている事を皆で共有しよう。<br>各々の話を聞かせてくれ。,1,11,ef_com_00100_002_006_00,
#,,,#【時間経過】,
