#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,共闘,
,,,#,,,
1,月詠 小萌,6000101,異能決戦は攻撃チームを作って他のプレイヤーの<br>防衛チームにオートバトルで挑むランキング戦です。,900060034,10,
2,月詠 小萌,6000101,たくさんのプレイヤーがグループに振り分けられて、<br>グループ内でランキングを競い合うですよー。,,20,
3,月詠 小萌,6000101,勝利を重ねてランキング上位を狙いましょう！,900060052,12,
4,月詠 小萌,6000101,それではまずは、他のプレイヤーを迎撃する<br>『防衛チーム』を作ってみましょう。,900060035,10,
101,月詠 小萌,6000101,防衛チームは他プレイヤーから<br>挑戦を受けた時に使用されます。,900060050,11,
102,月詠 小萌,6000101,アシストキャラは対戦相手には見えないので、<br>アシストの選び方が重要なんですよー。,900060051,20,
103,月詠 小萌,6000101,今回はオススメ編成で作ってみましょう。,900060057,10,
































