#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,神裂 火織,25000101,やはり堕天使メイドは必要なものなのでしょうか……。,900250016,11,,
2,オルソラ,28000101,神裂さん、堕天使メイドとは<br>一体どのようなものでございましょうか……？,900280028,10,ef_com_00100_002_002_00,
3,神裂 火織,25000101,き、聞いていたのですか！？,900250030,21,ef_com_00100_002_003_00,
4,オルソラ,28000101,ええ、ずっと隣におりましたし。<br>それで堕天使メイドとは――。,900280003,12,
5,神裂 火織,25000101,わあぁぁ！！　な、何でもありません！,900250017,20,ef_com_00100_002_003_00,
6,オルソラ,28000101,そうですか……堕天使と言うからには、私たちにも<br>何か関係があるのではと思ったのでございますが。,900280009,10,
7,神裂 火織,25000101,堕天使は堕天使でも、とある男の妄想にすぎませんから！,900250020,21,ef_com_00100_002_003_00,
8,オルソラ,28000101,妄想……？,900280018,10,
9,神裂 火織,25000101,そ、それもナシです！<br>ああもう全部忘れてください～！！,900250026,20,ef_com_00100_002_006_00,








