#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,再会する二人,,,,
#,,,#【学園都市・駅前・昼】,
1,ヘスティア,181000101,おーい、ベルくーん。春姫くーん。<br>どこに居るんだーい？　いたら返事をしてくれー！,1,10,,
2,初春 飾利,36000101,うぅん……見つかりませんね。,1,14,ef_com_00100_002_004_00,
3,御坂 美琴,4000102,荷車は近くにあったし、近くにいると<br>思ったんだけど……んっ？　あれは……。,1,15,,
4,食蜂 操祈,10000101,あ、いたいた。御坂さ～ん♪,1,12,ef_com_00100_002_000_00,
5,御坂 美琴,4000102,げっ、食蜂……！<br>今、アンタに構ってる暇はないんだけど。,1,21,ef_com_00100_002_003_00,
6,食蜂 操祈,10000101,あら、いきなりご挨拶ね。<br>胸が小さいと器量力も小さいのかしらぁ？,1,10,
7,御坂 美琴,4000102,なんですってぇ！？,1,13,ef_com_00100_002_005_00,
8,白井 黒子,5000101,まあまあ、お姉様落ち着いて。<br>それで、何の用でございますの？,1,15,ef_com_00100_002_003_00,
9,食蜂 操祈,10000101,ちょっと紹介したい子がいるのよ。<br>この子なんだけど……。,1,10,
10,ベル,180000701,あぁ、えっと……。,1,15,ef_com_00100_002_003_00,
11,ヘスティア,181000101,ベル君！　ベル君じゃないか！,1,15,ef_com_00100_002_001_00,
12,ベル,180000701,あ、神様！　よかった、ご無事で……。,1,10,ef_com_00100_002_001_00,
13,佐天 涙子,37000101,ベル君……ってことは<br>この子がヘスティアさんの言ってた仲間？,1,10,,
14,ヘスティア,181000101,そうだよ！　君が見つけてくれたのかい？<br>ありがとう！　心から感謝するよ！,1,12,ef_com_00100_002_000_00,
15,食蜂 操祈,10000101,……どういたしまして。<br>というかやっぱり御坂さんも関わってたのねぇ。,1,11,
16,御坂 美琴,4000102,やっぱりってどういうことよ。,1,15,ef_com_00100_002_003_00,
17,食蜂 操祈,10000101,別にぃ。事情はよくわからないけど変なことがあったら<br>首を突っ込んでるだろうなって思っただけよぉ。,1,10,
18,食蜂 操祈,10000101,さて、それじゃあその子はそっちに預けるから、<br>あとは頼んだわぁ。じゃあね☆,1,11,
19,御坂 美琴,4000102,……なんだか、厄介事を押し付けられた気分だわ。,1,20,ef_com_00100_002_006_00,
#,,,【時間経過】,
20,ヘスティア,181000101,ふー、ベル君も見つかったし、<br>あとは春姫君を見つけて帰る手段を探すだけだね。,1,10,
21,御坂 美琴,4000102,まずは春姫さんっていうのを先に探した方が良さそうね。<br>帰る手段については全く見当もついてないし。,1,10,
22,佐天 涙子,37000101,狐の耳と尻尾をつけた赤い着物の美人か～。<br>目立つし、結構簡単に見つかりそうじゃないです？,1,10,
23,初春 飾利,36000101,いえ、それがそうとも言えないみたいなんです。,1,14,ef_com_00100_002_006_00,
24,初春 飾利,36000101,聞く限り春姫さんの特徴は凄く目立つので、<br><ruby>風紀委員</ruby>の方に情報が無いか調べてみたんですが……。,1,14,,
25,初春 飾利,36000101,それらしい目撃情報は<br>今のところ上がってきてないようなんです。,1,14,
26,御坂 美琴,4000102,この学園都市にいてそれだけ派手な恰好の人が<br>殆ど目撃されていない、となると……。,1,20,
27,白井 黒子,5000101,人目を避けて隠れている可能性が濃厚。<br>ということですわね。,1,22,
28,ベル,180000701,そうですか……。この街はすごく広そうですし、<br>探すのは苦労しそうですね。,1,14,ef_com_00100_002_004_00,
29,白井 黒子,5000101,ところで、<br>ベルさんは常盤台にいらしたのですよね？,1,10,ef_com_00100_002_002_00,
30,ベル,180000701,は、はい。女性しか入ってはいけない所と聞いて<br>すごく驚きました……。,1,17,
31,ヘスティア,181000101,むっ！　ベル君、まさか誰かに<br>色目を使われたりしてないだろうね！？,1,13,
32,ベル,180000701,し、してません！　してませんよ！,1,22,ef_com_00100_002_003_00,
33,ヘスティア,181000101,本当かい？　それならいいんだけど。,1,24,
34,白井 黒子,5000101,んんっ……とにかくベルさんは<br>常盤台にいらした。,1,13,
35,白井 黒子,5000101,ここからはだいぶ離れてますし、春姫さんもこの近くに<br>いるかもという考えは改めた方が良さそうですわね。,1,13,
36,御坂 美琴,4000102,当てずっぽうで捜しまわると徒労に終わるかもだし、<br>何か見つけるための手掛かりか、作戦が欲しいわね。,1,11,
37,佐天 涙子,37000101,う～ん……見つけるのが難しいなら、<br>向こうに見つけてもらうのはどうかな。,1,11,ef_com_00100_002_001_00,
38,佐天 涙子,37000101,ヘスティアさん達がここにいるよーってアピールしたら、<br>向こうから来てくれるんじゃないかな。,1,10,
39,初春 飾利,36000101,あ、それいいですね！<br>問題はどうやってアピールするかですけど……。,1,10,ef_com_00100_002_001_00,
40,ヘスティア,181000101,ふふん！　それならボクにいい考えがある！,1,10,ef_com_00100_002_000_00,
41,御坂 美琴,4000102,本当！？　それってどんな？,1,15,
42,ヘスティア,181000101,うん、まずはだね……。,1,11,
#,,,#END,
