#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,遊び方,
#,,,イベント（奪還戦TOP）,
#,,,#,,,
1,レイヴィニア,43000101,では、『<ruby=クラスバトル>異能等級戦</ruby>』について<br>私が直々に教えてやろう。,900430031,10,
100,レイヴィニア,43000101,『<ruby=クラスバトル>異能等級戦</ruby>』とはプレイヤー同士でバトルを行い<br>クラスの昇格を目指すプレイヤー対戦型イベントだ。,900430032,10,
101,レイヴィニア,43000101,対戦の勝者となると『クラス値』が増加し<br>敗北すると『クラス値』は減少する。,,20,
102,レイヴィニア,43000101,クラス値は一定数まで増加するとクラス昇格となり、<br>一定数まで失うと降格となる。,900430034,10,
200,レイヴィニア,43000101,クラスは『アイアンⅠ』から『ダイヤモンドⅤ』までの<br>３０段階で形成されている,900430033,12,
201,レイヴィニア,43000101,理解できたか？　ライバル達と競い合って<br>『<ruby=クラスバトル>異能等級戦</ruby>』のトップを目指すんだな。,900430051,10,
202,レイヴィニア,43000101,ではここから<ruby=クラスバトル>異能等級戦</ruby>の<br>対戦ルールを説明していくぞ。,900430033,10,
300,レイヴィニア,43000101,バトルは自動で行うが、『攻撃チーム』『防衛チーム』の<br>それぞれ３チーム、計６チームを使用する。,,10,
301,レイヴィニア,43000101,相手との対戦では、『攻撃チーム』と『防衛チーム』が<br>それぞれバトルを行うことで勝敗が決まる。,900430050,11,
302,レイヴィニア,43000101,なお、『攻撃』側で勝ち、『防衛』側で負けなどの場合は<br>残ったキャラクター数などでの判定となるぞ。,,10,
303,レイヴィニア,43000101,これを対戦相手と、攻撃・防衛の各３チーム分で行い、<br>『勝利数』の多い方が、対戦の勝者になる。,900430052,12,
304,レイヴィニア,43000101,１回のマッチングで『３人』とマッチされるので<br>同じ編成チームで３人とのバトルを行うことになるぞ。,900430033,10,
305,レイヴィニア,43000101,つまり、１回のマッチングで<br>最大３回、勝者になるチャンスがあるという事だ。,900430051,10,
306,レイヴィニア,43000101,初回のマッチングは、最初のチーム編成が締め切られた<br>タイミングで自動的に行われ、,,10,
307,レイヴィニア,43000101,それ以降は、対戦結果発表前にマッチングが完了し、<br>編成前に次の対戦相手が分かるようになっている。,900430055,21,
400,レイヴィニア,43000101,<ruby=クラスバトル>異能等級戦</ruby>では『チーム編成時間』と『バトル時間』を<br>交互に繰り返し行っていく流れで行われていくが……,900430034,10,
401,レイヴィニア,43000101,バトルで使うチームの編成ができるのは<br>『チーム編成時間』のみとなっている。,,10,
402,レイヴィニア,43000101,『バトル時間』中では編成できないので、<br>それまでにチームの編成を完了させておけよ。,900430059,12,
403,レイヴィニア,43000101,『バトル時間』終了時に３人との対戦結果が発表され、<br>結果に応じて『クラス値』『等級コイン』が獲得できる。,900430033,10,
500,レイヴィニア,43000101,『等級コイン』は毎回集めていくことで、ショップから<br>キャラクターの覚醒結晶と交換が可能だぞ。,,10,
501,レイヴィニア,43000101,<ruby=クラスバトル>異能等級戦</ruby>のバトルに向けて、<br>編成のポイントをひとつ説明してやろう。,900430050,12,
600,レイヴィニア,43000101,本イベントでは、毎日『マップボーナス』として、<br>特定の攻撃タイプや属性が強化されている。,,12,
601,レイヴィニア,43000101,この『マップボーナス』を意識したチームを<br>編成するのを忘れるなよ。,900430051,10,
700,レイヴィニア,43000101,そして、最後に重要なポイントとして<br>今回は『<ruby=クラスバトル>異能等級戦</ruby>』の『シーズン最終戦』となる。,900430034,12,
701,レイヴィニア,43000101,今回の『<ruby=クラスバトル>異能等級戦</ruby>』終了時のクラス値の順位に応じて<br>『<ruby=いのうトーナメント>異能頂上決戦</ruby>』の進出者が決まるぞ！,,10,
702,レイヴィニア,43000101,一部と二部、それぞれの進出資格をしっかり確認して<br>頂上決戦への進出を目指すんだな。,900430055,21,
703,レイヴィニア,43000101,それでは『<ruby=いのうトーナメント>異能頂上決戦</ruby>』に向けた最後の戦い、<br>『<ruby=クラスバトル>異能等級戦</ruby> シーズン最終戦』開始だ！,,10,
704,レイヴィニア,43000101,お前の手腕を私に見せてみろ。,900430052,12,
