#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: バレンタインイベント（タイトル仮） チャプター01,
#,,,学園都市への来訪,,,,
#,,,#【学園都市・駅前（昼）】,
#,,,#SE（街の喧騒音）,,,,
1,エステル,92000101,――この街に来るのも久しぶりかな。,900920004,20,,
#,,,#SE（歩き寄る足音）,,,,
2,エステル,92000101,……師匠。,0,20,,
3,エステル,92000101,以前ここへ来た時は、本当に色々なことがあった。<br>私が今こうしていられるのも師匠のおかげだ。,900920005,11,ef_com_00100_002_001_00,
4,エステル,92000101,だが、世話になった礼も十分にできないまま<br>学園都市を去ったことがずっと心残りだった。,0,10,
5,エステル,92000101,幸い、当初の予定も早く済んで時間はある。,0,10,
6,エステル,92000101,せっかくだからこの機会に、少しでも返すことが<br>できればいいんだが……。,900920004,11,
7,エステル,92000101,……しかし、礼と言っても<br>何をすれば師匠に喜ばれるだろうか。,900920015,14,
8,エステル,92000101,私に出来るようなことと言えば、<br>……添い寝とか……？,0,14,ef_com_00100_002_002_00,
#,,,#SE（妄想演出音：ぽわぽわ）,,,,
#,,,#【病院・病室（昼）】,
9,エステル,92000101,師匠……！<br>溜まっている礼として、私に添い寝をさせてくれ！,900920002,12,,
10,一方通行,13001001,なンだァ……？,900130017,15,,
11,エステル,92000101,添い寝は、あたたかさや安心感、<br>不安の解消などに効果があると聞いた。,900920005,12,,
12,エステル,92000101,これは私からの心ばかりの礼だ。<br>さぁ、遠慮せず受け取ってくれ！,900920011,12,ef_com_00100_002_007_00,
#,,,#SE（布団の衣擦れ音）,,,,
13,一方通行,13001001,おィ、勝手に入ってくンな……！<br>妙なことすンじゃねェ！！！！,900130028,15,,
#,,,#SE（突き飛ばされる音：ドンッ）,,,,
14,エステル,92000101,あぁっ、す、すまないっ！！,900920027,16,ef_com_00100_002_003_00,
#,,,#【学園都市・駅前（昼）】,
#,,,#SE（街の喧騒音）,,,,
15,エステル,92000101,……と、こうなるのがオチか。,900920016,14,ef_com_00100_002_006_00,
16,エステル,92000101,しかし、こんなことで<br>師匠への礼を諦めるわけには……。,0,11,
17,エステル,92000101,よし。添い寝がダメなら、<br>マッサージというのはどうだろうか？,900920003,12,
#,,,#SE（妄想演出音：ぽわぽわ）,,,,
#,,,#【病院・病室（昼）】,
18,エステル,92000101,師匠……！　溜まっている礼を返すために、<br>私にマッサージをさせてくれ！,900920002,12,,
19,一方通行,13001001,なンだァ……？,900130017,15,,
20,エステル,92000101,マッサージには筋肉をほぐす他、血液の循環を促したり<br>内臓の働きを活発にする効果もある。,900920004,12,,
21,エステル,92000101,これは私からの心ばかりの礼だ。<br>さぁ、遠慮せず受け取ってくれ！,900920011,12,ef_com_00100_002_007_00,
#,,,#SE（衣擦れ音）,,,,
22,一方通行,13001001,おィ、コラ、勝手なことすンな……！<br>ベタベタ触ってンじゃねェ！！！！,900130030,15,,
#,,,#SE（突き飛ばされる音：ドンッ）,,,,
23,エステル,92000101,あぁっ、す、すまないっ！！,900920027,16,ef_com_00100_002_003_00,
#,,,#【学園都市・駅前（昼）】,
#,,,#SE（街の喧騒音）,,,,
24,エステル,92000101,ダメだ……師匠に礼を受け入れてもらえる光景が<br>少しも想像できない。,900920026,14,ef_com_00100_002_006_00,
25,エステル,92000101,このままでは礼どころか、<br>疎まれてしまう可能性も……。,0,14,
26,エステル,92000101,……そうだ。,900920003,10,ef_com_00100_002_001_00,
27,エステル,92000101,ならばいっそ『師匠を良く知る人物』に<br>意見を貰えば良いのではないだろうか。,0,10,
28,エステル,92000101,うん。それが一番確実だな。,900920002,12,
29,エステル,92000101,そうと決まれば、<br>早速会いに行くとしよう！,0,12,ef_com_00100_002_007_00,
#,,,#【常盤台中学・中庭（昼）】,
#,,,#SE（チラシを受け取る音：ペラッ）,,,,
30,牧上 小牧,201000201,へぇ、お菓子作り研究会ですか。,902010004,10,
31,食蜂派閥の生徒Ａ,507000206,ええ。以前はお菓子作りを趣味にもつ<br>派閥メンバーの有志だけで行っていたのですけど、,905070006,10,,
32,食蜂派閥の生徒Ａ,507000206,今回は少し規模を広げてみることになりまして。,0,10,
33,牧上 小牧,201000201,そういえば、派閥メンバーの間でお菓子作りが<br>流行ってるって聞いたことがあります。,902010005,12,
34,牧上 小牧,201000201,内容はかなり本格的で、プロのスイーツ職人も<br>顔負けだとか……！,0,12,ef_com_00100_002_000_00,
35,食蜂派閥の生徒Ａ,507000206,ふふっ、プロ顔負けだなんて大げさですわ。,905070002,12,
36,食蜂派閥の生徒Ａ,507000206,確かにお菓子作りにこだわりのある方は多いですが、<br>それでもあくまで趣味ですから。,0,12,
37,食蜂派閥の生徒Ａ,507000206,それに今回は、初心者でも気軽に<br>参加しやすい会にするつもりなんです。,0,10,
38,食蜂派閥の生徒Ａ,507000206,女王にも参加して頂ける予定ですし。,905070006,10,
39,牧上 小牧,201000201,え、食蜂さんも参加するんですか……？,902010030,15,ef_com_00100_002_002_00,
40,食蜂派閥の生徒Ａ,507000206,ええ。実は女王自身が参加を希望されたことで、<br>他の皆さまにも参加を募ることになったのです。,905070009,12,
41,食蜂派閥の生徒Ａ,507000206,そういうわけで、小牧さんもご興味があれば<br>是非ご参加くださいね。,0,12,,
#,,,#SE（歩き去る足音）,,,,
42,牧上 小牧,201000201,お菓子作り研究会かぁ。,902010003,11,
43,牧上 小牧,201000201,楽しそうだし、お菓子作りのちょっとしたコツとか<br>教えてもらえる良い機会かも。,0,12,
44,牧上 小牧,201000201,この日程なら<ruby>風紀委員</ruby>の仕事にも影響はなさそうだし、<br>私も参加してみようかな。,902010002,12,ef_com_00100_002_007_00,
#,,,【以下キャラフラッシュ】※全てウェディング衣装,
#,,,#【常盤台女子寮・食堂（昼）】,
45,食蜂 操祈,10001901,急に全身のサイズなんて測り始めて<br>何ごとかと思ったけどぉ……このためだったのねぇ。,900100002,22,
#,,,#【常盤台女子寮・食堂（昼）】,
46,牧上 小牧,201000701,こういうフリフリした可愛い服って、<br>普段選んで着ることってあんまりないですから、,902010017,17,
#,,,#【常盤台女子寮・食堂（昼）】,
47,帆風 潤子,93000901,そんなに恥ずかしがらなくても、<br>よく似合っていますよ。,900930003,10,
#,,,#【学園都市・黄泉川愛穂アパート（昼）】,
48,エステル,92000701,しかし、こんな立派なキッチンを<br>本当に使わせてもらっていいのか？,900920010,10,
#,,,#【学園都市・黄泉川愛穂アパート（昼）】,
49,ミサカ一〇〇四六号,21001201,やはりお礼をする本人が自ら作る方が良いでしょう。<br>とミサカもサポートに集中することを宣言します。,900210002,12,
#,,,#END,
