#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,はじめましてー。<ruby=つくよみこもえ>月読小萌</ruby>です。<br>これから操作説明をはじめるですよー。,,12,
2,月詠 小萌,6000101,まずはバトルについてです。さっそくですが、<br>目の前の不良さんをやっつけちゃいましょー。,,10,
3,月詠 小萌,6000101,バトルの基本は「移動」と「攻撃」です。,,20,
4,月詠 小萌,6000101,キャラは攻撃の矢印のついている方向に攻撃します。<br>エネミーに矢印を合わせるように移動が基本ですよー。,,10,
5,月詠 小萌,6000101,すべての敵を倒せば「勝利」です。逆にすべての味方が<br>倒されちゃうと「敗北」なので気をつけてくださいねー。,,20,
6,月詠 小萌,6000101,それでは、上条ちゃんを攻撃の矢印を合わせるように<br>移動させて「攻撃開始」を押してみましょう。,,10,
101,月詠 小萌,6000101,よくできましたー。,,12,
102,月詠 小萌,6000101,「移動」と「攻撃」は分かりましたか？<br>この操作がバトルの基本となりますよー。,,10,
103,月詠 小萌,6000101,それと、味方の全員の行動が終わると<br>エネミーも同じように行動してくるです。,,13,
104,月詠 小萌,6000101,慣れてきたら、安全な位置に移動して攻撃！<br>なんてこともできちゃいますよー。,,12,
105,月詠 小萌,6000101,それでは、残りの不良さんもやっつけちゃいましょう！,,10,








































