#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター21：常盤台中学　婚后 光子　御坂 美琴　,
#,,,高度な遊戯,0,
1,食蜂 操祈,10000101,あらぁ、御坂さんじゃなぁい。<br>元気してるぅ？,900100001,10,ef_com_00100_002_001_00,
2,御坂 美琴,4000102,食蜂操祈……元気だけど、それが何か？,900040015,20,ef_com_00100_002_006_00,
3,食蜂 操祈,10000101,なぁによぉ、相変わらず愛想力がないのねぇ。<br>御坂さんの笑顔が見たいんダゾ☆,900100003,20,
4,御坂 美琴,4000102,笑顔を向けたくなる相手にだったらいくらでも笑うわよ。,900040029,21,ef_com_00100_002_004_00,
5,食蜂 操祈,10000101,あらぁ。それって私には笑顔向けたくないってことぉ？<br>いくら私にヤキモチ焼いてるからって、大人げないわぁ。,900100004,12,
6,御坂 美琴,4000102,ちょっと。聞き捨てならないわね。<br>あたしがあんたの何にヤキモチ焼くってのよ！,900040018,13,ef_com_00100_002_005_00,
7,食蜂 操祈,10000101,それは、この愛くるしい人柄力とかぁ？,900100004,21,
8,御坂 美琴,4000102,自分で愛くるしいとか言いきれる図太さはある意味<br>感心するけど、真似はしたくないわよ！,900040015,13,ef_com_00100_002_005_00,
9,食蜂 操祈,10000101,じゃ、この豊かな胸部とかぁ？,900100004,23,
10,御坂 美琴,4000102,う……それは！　うらやましくなんかなくもないけど。<br>で、でも、それとこれとは関係ないから！,900040022,21,ef_com_00100_002_006_00,
11,食蜂 操祈,10000101,はぁ～。ナイスバディって罪だわぁ。でも、<br>御坂さんも努力すればきっと少しは成長するんダゾ☆,900100011,14,ef_com_00100_002_007_00,
12,御坂 美琴,4000102,よけーなお世話！,900040021,13,ef_com_00100_002_005_00,


