#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,遊び方,
#,,,イベント（通常TOP）,
#,,,#,,,
1,月詠 小萌,6000101,開催されているイベントの情報をお伝えするのです！,900060001,10,
101,月詠 小萌,6000101,このイベントは１周年記念のもので<br>期間中、１日１回……あれっ？　スイカ？,900060042,12,
102,月詠 小萌,6000101,ええと、スイカを倒すことで<br>ミッションでの報酬が貰えるイベントなのです？,900060023,12,
201,月詠 小萌,6000101,……、クリア報酬はありませんが、ミッションを<br>達成することでポイントをゲットできるのですよー！,,10,
301,月詠 小萌,6000101,集めたポイントを使ってポイント交換所で<br>景品抽選をしちゃいましょう！,900060034,12,
302,月詠 小萌,6000101,さらに、皆さんが倒したスイカの合計数が集計されていき<br>目標を達成すると追加で豪華報酬がでるのです！,900060051,10,
303,月詠 小萌,6000101,集計はゲーム外の西瓜割りイベントとも連動しているので<br>詳しくはお知らせを確認してくださいねー！,,12,
304,月詠 小萌,6000101,ちなみに、イベントではスタミナ消費等はないので<br>無条件でいくらでも、スイカ……に挑むことができます。,900060050,20,
305,月詠 小萌,6000101,何だかよくわかりませんが、スイカを倒しまくって<br>報酬をゲットしちゃってくださいねー！,900060052,10,

















