#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,共闘,
,,,#,,,
1,月詠 小萌,6000101,異能大戦は、異能決戦と同じようにグループ内で<br>プレイヤー同士がオートバトルで競うランキング戦です。,900060033,10,
2,月詠 小萌,6000101,異能決戦との大きな違いとして、異能大戦では<br>３つのチームが必要になるのですよー。,900060034,20,
3,月詠 小萌,6000101,それぞれのチームが対戦して、３戦のうち２勝できれば<br>勝利になります。ランキング上位を狙いましょう！,900060052,12,
4,月詠 小萌,6000101,それでは最初に、他のプレイヤーを迎撃する<br>『防衛チーム』を作ってみましょう。,900060035,10,
101,月詠 小萌,6000101,防衛チームは他プレイヤーから<br>挑戦を受けた時に使用されます。,900060050,11,
102,月詠 小萌,6000101,今回はオススメ編成でチームを３つ作ってみましょう。,900060057,10,
































