#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,Chapter9,
#,,,失物は遅く、出ずべし,,,,
#,,,#【学園都市・駅前・昼】,
1,佐天 涙子,37000901,ふふ～ん、おっねがっいおっねがっい♪<br>ご～えん玉っで御縁がありまっすように～♪,900370011,12,ef_com_00100_002_000_00,
2,初春 飾利,36000901,佐天さんってば歌まで歌っちゃって<br>すごく上機嫌ですね。,900360002,12,,
3,佐天 涙子,37000901,まぁねー。今、運気上がってる気がするんだよねっ。,900370006,10,ef_com_00100_002_007_00,
4,佐天 涙子,37000901,今なら、今年こそ能力を使えますように<br>っていうお願いも叶っちゃうかもなー！,0,12,ef_com_00100_002_000_00,
5,初春 飾利,36000901,能力を、ですか？<br>それが佐天さんのお願いだったんですね。,900360004,10,ef_com_00100_002_001_00,
6,佐天 涙子,37000901,……、あっ失敗したー。<br>秘密にしておこうと思ってたんだけど、あはは。,900370002,10,ef_com_00100_002_000_00,
7,初春 飾利,36000901,きっと願い事も叶うはずです。<br>だって、頑張ってご利益巡りもしたんですから。,900360005,12,
8,佐天 涙子,37000901,だと良いなっ。能力を使えるようになったら、<br>お母さん達も喜んでくれるはずだし！,900370006,12,ef_com_00100_002_000_00,
9,御坂 美琴,4001001,……ね、黒子。佐天さんのお願い、叶うと良いわね。,900040006,10,,
10,白井 黒子,5001001,……ええ。わたくしも同じ気持ちですのよ、お姉様。,900050006,10,,
11,佐天 涙子,37000901,うちのお母さん、わざわざお守りまで用意してさー。<br>さすがにそろそろ良い報告を――。,900370008,10,
12,佐天 涙子,37000901,……あれ？　……え、えっ！？　えっ、何でっ！？,900370030,15,ef_com_00100_002_003_00,
13,初春 飾利,36000901,？　佐天さん、急にゴソゴソし始めてどうしました？,900360003,10,ef_com_00100_002_002_00,
14,佐天 涙子,37000901,な、無い……！　お守りが無いのっ！,900370022,15,ef_com_00100_002_003_00,
15,御坂 美琴,4001001,えっ、お守りって佐天さんがいつも持ってるやつよね？,900040017,15,
16,佐天 涙子,37000901,はい……お母さんがくれた大切なお守りなのに……！<br>どこで失くしちゃったんだろう……！？,900370023,14,ef_com_00100_002_004_00,
17,白井 黒子,5001001,まずは落ち着きなさい佐天。もしどこかで落としたのなら<br>そんなに時間は経っていませんの。見つかるはずですわ。,900050004,13,
18,初春 飾利,36000901,もしかしたら誰か拾ってくれたかもしれません……！<br>落とし物が届いてないか確認の連絡をしてみますっ。,900360005,15,ef_com_00100_002_003_00,
19,御坂 美琴,4001001,じゃあ暗くなる前に手分けしましょう。初春さんは<br>そのまま連絡を続けて。黒子は離れた場所をお願い。,900040006,20,
20,御坂 美琴,4001001,佐天さんは私と一緒に、<br>来た道を戻って探してみましょう。,0,10,
21,佐天 涙子,37000901,は、はい！　みんな、ありがとうございます……！,900370015,14,ef_com_00100_002_003_00,
#,,,#【時間経過】,
#,,,#【学園都市・路上A・夕】,
22,白井 黒子,5001001,わたくしの方は駄目でしたの。セブンスミストや<br>高台の場所を探してみましたが見つかりませんのよ。,900050016,14,ef_com_00100_002_004_00,
23,初春 飾利,36000901,<ruby>風紀委員</ruby>や<ruby>警備員</ruby>に拾得物の届けは無いそうです……。<br>和菓子カフェにも直接伺いましたけどありませんでした。,900360008,14,,
24,佐天 涙子,37000901,……そっか、うん。<br>二人とも、色々ありがとう。,900370016,14,
25,御坂 美琴,4001001,一番ありそうだったのが、不良を見つけた<br>この場所なんだけど……見当たらなかったわね。,900040023,14,ef_com_00100_002_004_00,
26,佐天 涙子,37000901,ここで突き飛ばされた時に、<br>落としたと思ったんですけどね……。,900370008,14,ef_com_00100_002_006_00,
27,初春 飾利,36000901,ならもう一度探しましょう！　きっと見つかるはずです！,900360006,13,
28,佐天 涙子,37000901,……ありがとう。でも、もう十分だよ。<br>御坂さんも一緒に、さっきまで探してくれてたんだし。,900370015,11,
29,初春 飾利,36000901,佐天さん……？,900360008,15,ef_com_00100_002_002_00,
30,佐天 涙子,37000901,あ、あはは……<br>きっと罰が当たったんだね。,900370018,12,ef_com_00100_002_004_00,
31,佐天 涙子,37000901,能力が使えるように、<br>なんて神頼みで調子良い事を言ってたから。,0,12,
32,佐天 涙子,37000901,願い事に夢中になっちゃってさ、<br>大切な物を失くしちゃうとかバカみたいだよね。,0,14,
33,佐天 涙子,37000901,……こんなんだから今までも……<br>ううん、これからもずっと<ruby>無能力者</ruby>なのかな――。,0,14,ef_com_00100_002_006_00,
34,初春 飾利,36000901,佐天さん、大丈夫です！,900360028,10,
35,佐天 涙子,37000901,う、初春……？,900370017,14,ef_com_00100_002_002_00,
36,初春 飾利,36000901,佐天さんが見つけられなくても……<br>私が絶対に見つけます！　私に任せてください！,900360005,12,ef_com_00100_002_000_00,
37,初春 飾利,36000901,それに私だけじゃないです。御坂さんも白井さんも、<br>頼れる人達がきっと最後まで協力してくれます！,0,10,
38,初春 飾利,36000901,だから……だから、諦めないでください……！,0,11,
39,御坂 美琴,4001001,そうね、安心して佐天さん。<br>絶対に見つけ出してみせるから。,900040005,12,ef_com_00100_002_000_00,
40,白井 黒子,5001001,遺失物の捜索なんて日常茶飯事ですのよ。<br>この程度解決できなければ<ruby>風紀委員</ruby>の名折れですわ。,900050006,10,ef_com_00100_002_000_00,
41,佐天 涙子,37000901,みんな……うん、本当に、ありがとう。<br>不安になって諦めかけちゃってごめんなさい。,900370013,11,
42,佐天 涙子,37000901,……よぉーしっ！<br>ここまできたら学園都市全部だって探してやるぞー！,0,10,,
#,,,#END,


