#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,ホーム画面にはいろいろ機能があります。,,20,
2,月詠 小萌,6000101,それではＭｙキャラ設定を試してみましょう。,,12,
101,月詠 小萌,6000101,ここではＭｙキャラを設定することができます。,,20,
102,月詠 小萌,6000101,Ｍｙキャラを設定するとホーム画面に表示できたり、<br>獲得ＣＰにボーナスがついたりといろいろお得ですよー。,,10,
103,月詠 小萌,6000101,キャラのＣＰが貯まるとそのキャラに関連した<br>オリジナルストーリーが開放されたり……,,11,
104,月詠 小萌,6000101,そのキャラの名前のついたバトルキャラやアシストキャラ<br>のステータスにボーナスがついちゃいます。,,10,
105,月詠 小萌,6000101,お気に入りのキャラをＭｙキャラに<br>設定しちゃってくださいねー。,,12,
106,月詠 小萌,6000101,それではためしに御坂美琴さんを<br>設定してみましょう。,,12,
201,月詠 小萌,6000101,このＭｙキャラタブで設定されたキャラが<br>ホーム画面に表示されるですよー。,,20,
202,月詠 小萌,6000101,設定できるキャラはガチャなどでキャラを<br>入手できると追加されていきます。,,10,
203,月詠 小萌,6000101,そうそう、「Live2D」と表示されている<br>キャラは「Live2D」で動きますよー。,,12,
204,月詠 小萌,6000101,「Live2D」に対応したキャラは今後も増えていくので<br>期待してくださいねー。,,12,
301,月詠 小萌,6000101,こちらの背景タブでは表示する背景を設定できます。,,10,
302,月詠 小萌,6000101,背景はメインストーリーをクリアすると増えていくので<br>ストーリーを進めたら確認してみてくださいねー。,,12,
401,月詠 小萌,6000101,Ｍｙキャラは自由にカスタマイズできるので<br>好みに合わせて設定しちゃってください。,,20,
402,月詠 小萌,6000101,お次は交換所に案内しますねー。,,12,



































