#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,サイド別ストーリー: 天草式十字凄教 チャプター10,
#,,,チラメイド降臨！,,,,
#,,,#【ファミレス・店内・昼】,
1,メイド,60000201,困ったわね。,900600015,14,
2,五和,30000201,あの……どうしたんですか？,900300029,10,ef_com_00100_002_003_00,
3,メイド,60000201,せっかく体験入店してもらうことになったのに、<br>丁度、今あなたに合う制服がないのよ。,900600016,16,
4,五和,30000201,そうなんですか？,900300016,14,
5,メイド,60000201,身長は問題無いんだけど、胸のところがちょっと。,900600008,14,
6,五和,30000201,うっ……。,900300023,14,
7,建宮 斎字,29000101,特大オレンジなのよなぁ。,900290006,10,ef_com_00100_002_007_00,
8,五和,30000201,建宮さん、何か言いました？,900300024,13,
9,建宮 斎字,29000101,気のせいなのよ。,900290007,11,
10,メイド,60000201,胸に合わせると、今度は制服が大きくなりすぎるし……。,900600017,14,
11,建宮 斎字,29000101,制服ならあるのよな。,900290008,10,ef_com_00100_002_000_00,
12,五和,30000201,え……。,900300030,15,
13,建宮 斎字,29000101,こんな時のために、ちゃんと用意してあるのよ。,900290014,10,
14,五和,30000201,ま、まさか……！？,900300030,15,
15,建宮 斎字,29000101,そのまさかなのよ！　大精霊チラメイド！,900290005,12,ef_com_00100_002_000_00,
16,五和,30000201,なんで持ち歩いているんですかぁっ！？,900300011,15,
17,建宮 斎字,29000101,このメイド服なら、五和にピッタリなのよな。,900290001,11,
18,建宮 斎字,29000101,五和がこれを着るのは、もう少し先だと思っていたが……<br>良い機会だから、着てみるのよな。,0,10,
19,五和,30000201,ダ、ダメですよ、そんなの！,900300008,15,ef_com_00100_002_003_00,
20,建宮 斎字,29000101,なぁに、試着だと思えばいいのよ。,900290007,10,
21,五和,30000201,そういうことじゃなくて！<br>皆さんと違う制服を着て、お店に出るわけには……。,900300018,14,
22,メイド,60000201,別にいいんじゃない？,900600007,10,ef_com_00100_002_000_00,
23,五和,30000201,ええっ！？,900300030,15,
24,メイド,60000201,あくまでも体験入店だし、アリよアリ！,900600002,12,
25,建宮 斎字,29000101,話のわかるメイドさんなのよな。,900290006,11,
26,建宮 斎字,29000101,というわけで、五和。<br>早速着てみるのよな！,0,12,ef_com_00100_002_007_00,
27,五和,30000201,ううっ……そんなぁ……。,900300016,14,
#,,,#【時間経過】,
28,メイド,60000201,お集まりのご主人様方、お嬢様方♪,900600002,10,ef_com_00100_002_000_00,
29,メイド,60000201,本日ただ今より、新人メイドが、<br>お世話させていただくことになりました♪,0,11,
30,メイド,60000201,ご紹介いたします♪　五和ちゃんで～す♪,0,12,
31,五和,30000701,い、五和と申します……よろしくお願いします……<br>ご主人様方……お嬢様方……。,900300002,10,
32,客Ａ,506000106,おおおおおっ！？,905060011,17,
33,客Ｂ,506000107,な、なんだあの制服は……！？,905060009,17,
34,客Ｃ,516000106,ヤバすぎるだろ！,905040010,17,
35,客Ｄ,507000106,素敵～♪　可愛い～♪,905070011,12,
36,建宮 斎字,29000101,ふっ、やはりチラメイドの破壊力は凄まじいのよな。,900290002,11,
37,五和,30000701,はうう……恥ずかしいです……。,900300012,14,
38,客Ａ,506000106,恥じらう姿が可愛いよ、五和ちゃん！,905060011,17,
39,客Ｂ,506000107,俺は五和ちゃんを指名するぞ！,905060010,17,
40,客Ｃ,516000106,俺もだ！,905040011,17,
41,客Ｄ,507000106,私のところにも来て、五和ちゃん！<br>一緒に写真を撮りましょう！,905070011,12,
42,メイド,60000201,フロアに出ただけで、この人気……<br>やはり私の目に狂いはなかったわ！,900600002,11,
43,メイド,60000201,あら……五和ちゃん、新しいご主人様のお帰りよ。<br>お迎えして差し上げて。,0,12,
44,五和,30000701,は、はい……！,900300005,10,
45,五和,30000701,お、お帰りなさいませ、ご主人様……？,0,12,
46,土御門 元春,3000201,うにゃー！　ただいまだにゃ～♪,900030001,17,ef_com_00100_002_000_00,
47,五和,30000701,え……あ、あなたはっ！？,900300030,15,
48,土御門 元春,3000201,にゃ？　お前……五和、か？,900030017,15,
49,五和,30000701,ツ、ツチミカドさんっ！？,900300030,15,ef_com_00100_002_003_00,
50,建宮 斎字,29000101,む……ツチミカド？,900290030,15,
#,,,#END,
