#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター14,
,,,終結,,,
#,,,（＊背景、画面を白一色に）,
15,上条 当麻,1000201,喰らえ最後の非常食チョコバーっ！！,1,20,
16,インデックス,2000101,むぐむぐ。とうま、結局何が起きていたの？　分かってい<br>る事ってあるの？,1,11,
17,インデックス,2000101,死人の復活、リターン。だけど、私の知識を総動員しても<br>あんな現象は起こせないかも。,1,20,
18,上条 当麻,1000201,分かっている事？,1,10,
#,,,（＊１９までの回想は白黒でキャラのイラストだけ表示。台詞はありません。『回想、木原加群』などを間違ってテキスト欄に表示させないようご注意を）,
#,,,回想、木原加群。,
#,,,回想、ＤＡ。,
#,,,回想、駒場利徳。,
#,,,回想、菱形幹比古。,
#,,,回想、菱形蛭魅。,
#,,,回想、ドリー。（短髪の方です）,
#,,,回想、ミサカ一〇〇三一号。,
#,,,回想、フレンダ。,
#,,,（＊キン、というコインを弾くような効果音を）,,,
19,インデックス,2000101,？　それ、コイン？,1,10,
20,上条 当麻,1000201,多くの衝突があって、取り返しのつかない選択をたくさん<br>して……。,1,11,
21,上条 当麻,1000201,それでも俺達は生きている、って事だろ？,1,12,
#,,,END,
