#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,チーム編成ではバトルキャラとアシストキャラで<br>ペアを作って自由にチームを作れるです。,,20,
2,月詠 小萌,6000101,アシストキャラにはバトルで発動する<br>アシストスキルがついているんですよー。,,10,
3,月詠 小萌,6000101,それでは上条ちゃんに<br>アシストキャラをつけてみましょう。,,12,
101,月詠 小萌,6000101,はい。ペアの完成ですね！,,12,
102,月詠 小萌,6000101,ペアを作るとこのようにステータスが合計されるので、<br>とってもお得なのですよー。,,20,
103,月詠 小萌,6000101,もちろんチーム編成ではバトルキャラの追加もできます。<br>さっそくチームに御坂美琴さんを加えてみましょう！,,10,
201,月詠 小萌,6000101,よくできましたー。,,12,
202,月詠 小萌,6000101,キャラが増えたら、アシストキャラを追加したり、<br>いろいろと組み合わせを試してみてくださいねー。,,10,












































