#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 4th Anniversaryリレーメッセージ,
#,,,システムメッセージ（初回）,,,,
#,,,#【青背景】,
1,,,祝『とある魔術の禁書目録　幻想収束』４周年！<br>いつも遊んで頂き、誠にありがとうございます！,
2,,,皆様への感謝を伝える<br>4th Anniversaryリレーメッセージを開催させて頂きます！,
3,,,期間中は毎日キャラクターが日替わりで<br>４周年の御礼メッセージをお届けにまいります。,
4,,,キャラクターからのメッセージはボイス付きで、<br>当日を逃すと聞けませんのでご注意ください。,
5,,,さらに、毎日のメッセージの最後で<br>『4th Anniversaryコイン』をプレゼント！,
6,,,誰からメッセージが届くのかは当日のお楽しみ！<br>是非、毎日ログインをしてチェックしてくださいね♪,
,,,#END,





































































#,,,#END,


































































