#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,メイン: とある科学の超電磁砲 チャプター21,
#,,,思わぬ再会,
#,,,#【研究所・研究室】,
#,,,#アニメシーン画像より。木原の研究所、外観。,
#,,,#お面をつける御坂。,
1,御坂 美琴,4000101,よし、これで変装も完璧！,1,12,
#,,,#アニメシーン画像より。壁を駆け上る御坂。,
#,,,#看板と立入禁止テープ。,
#,,,#建物内、走ってくる御坂。,
#,,,#電子ロックに通電。,
#,,,#？となる御坂。,
2,御坂 美琴,4000101,ん？,1,15,
#,,,#アニメシーン画像より。御坂、お面をずらして中へ。,
3,御坂 美琴,4000101,電気もきてないんじゃ、コレいらなかったな。,1,10,
#,,,#アニメシーン画像より。教室前、通り過ぎる御坂。,
#,,,#廊下。,
#,,,#機械の痕跡を見下ろす御坂。,
4,御坂 美琴,4000101,間違いない、ここだ。,1,20,
#,,,#アニメシーン画像より。廃墟の研究所、俯瞰。,
5,御坂 美琴,4000101,やっぱ空振りか……。,1,14,
#,,,#アニメシーン画像より。コントロールルームの光に気づく御坂。,
6,御坂 美琴,4000101,！？,1,15,
#,,,#アニメシーン画像より。携帯で話す木山。,
7,？？？,999000101,何も残っていません。ええ、引き上げます。,1,20,
#,,,#アニメシーン画像より。！となる御坂。,
8,御坂 美琴,4000101,あいつは……！,1,20,
#,,,#アニメシーン画像より。開くドア。,,,
#,,,#木山、ライトを向ける。,
#,,,#睨む御坂。,
9,？？？,999000101,君か……。,1,20,
#,,,#アニメシーン画像より。見ている木山。,
10,御坂 美琴,4000101,やっぱり……木山春生！,1,13,
#,,,#アニメシーン画像より。対峙する二人。,
11,木山 春生,41000201,何か用でも……。,1,10,
12,御坂 美琴,4000101,今回の事件もアンタの仕業なの！？,1,13,
#,,,#アニメシーン画像より。木山、決然と。,
13,木山 春生,41000201,……だとしたらどうする？,1,10,
#,,,#アニメシーン画像より。表情歪める御坂。,
#,,,#御坂、放電。,
14,御坂 美琴,4000101,許すわけ……ないでしょう！,1,13,
#,,,#アニメシーン画像より。研究所、電気がつく。,,,
#,,,#電灯、警報が鳴り響く。,
#,,,#見上げる御坂。,
15,御坂 美琴,4000101,いっ！？,1,15,
#,,,#アニメシーン画像より。慌てる御坂。,
16,御坂 美琴,4000101,なっ……ちょっと、何これ！？,1,15,
#,,,#アニメシーン画像より。？となる御坂。,
17,木山 春生,41000201,仕方ない……。,1,11,
#,,,#END,
