#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 食蜂のコスプレハロウィン（仮） チャプター04,
#,,,経験は慢心を生む,,,,
#,,,#【学園都市・交差点・夜】,
1,帆風 潤子,93000801,女王、そろそろパレードが始まる時刻です。,900930028,10,,
2,帆風 潤子,93000801,少々歩きますのでお疲れの際にはすぐに仰ってください。,0,10,
3,食蜂 操祈,10001801,そこまで長距離を歩く訳じゃないんだし、<br>さすがに心配しすぎよぉ。,900100004,10,
4,食蜂 操祈,10001801,（あの時みたいに走り回るわけでもないし、<br>大した事ないわよねぇ）,0,23,,
5,食蜂 操祈,10001801,（それにしても、やっぱりあの人は見つからないわ。<br>この道いっぱいの人の中じゃ、そう簡単にはいかないか）,900100015,14,ef_com_00100_002_006_00,
6,食蜂 操祈,10001801,（こっちにはほかの学区の学生が多いのかしら？）,0,11,
7,帆風 潤子,93000801,？　先ほどから周りを見回していらっしゃいますが、<br>もしかするとどなたかをお捜しでしょうか？,900930028,15,ef_com_00100_002_002_00,
8,食蜂 操祈,10001801,えっ！？　その……そう！　私をも唸らせる愉快力な<br>仮装をしてる人がいないかと思って見ていただけよぉ！,900100030,15,ef_com_00100_002_003_00,
9,帆風 潤子,93000801,な、なるほど。せっかくのハロウィンですから<br>他の方々の仮装を見るのも楽しみ方の一つですよね。,900930003,15,ef_com_00100_002_001_00,
10,帆風 潤子,93000801,でしたら、できるだけ多くの仮装が見られるように<br>歩く予定のルートを変更いたしましょう。,0,10,
11,食蜂 操祈,10001801,（ふふ、さすがよ帆風♪<br>これであの人を捜す機会が増やせるわぁ）,900100002,12,ef_com_00100_002_000_00,
12,食蜂 操祈,10001801,ええ、それも悪くないわねぇ。<br>それじゃあルートの変更をしてちょうだい。,900100006,22,
13,帆風 潤子,93000801,ルート変更の伝達をいたしました。<br>派閥の皆さんが先導いたしますので付いていきましょう。,900930004,10,,
#,,,#【場面転換】,
#,,,#【学園都市・駅前・夜】,
14,帆風 潤子,93000801,ご覧ください女王、吸血鬼の仮装をされている方が<br>いらっしゃいます。隣にいる方がすごく可愛らしいです。,900930028,10,,
15,帆風 潤子,93000801,皆さん、本当に多種多様な仮装をされていますね。<br>見ているだけでもとても楽しい気持ちになります。,900930009,12,
16,帆風 潤子,93000801,いかがですか？　女王も楽しめて……<br>あ、あら？　女王はいずこに？,900930030,15,ef_com_00100_002_002_00,
17,食蜂 操祈,10001801,はあ、ひぃ……。ちょ、ちょっとぉ待ちなさいよぉ……。,900100027,16,ef_com_00100_002_004_00,
18,帆風 潤子,93000801,じょ、女王！？,900930017,15,ef_com_00100_002_003_00,
19,食蜂 操祈,10001801,楽しむも、なにも、そんな余裕あるように、見える？,900100025,16,
20,帆風 潤子,93000801,ど、どうされたのですか女王！？,900930028,14,ef_com_00100_002_002_00,
21,食蜂 操祈,10001801,（失敗したわぁ……仮装を多く見るためのルートに<br>変更したって事はそれだけ多く歩く事になるんじゃない）,900100015,16,ef_com_00100_002_006_00,
22,食蜂 操祈,10001801,（というかこのパレード、歩くの少し速くなぁい！？<br>せめて私のペースで歩かせなさいよぉ！）,0,13,
23,食蜂 操祈,10001801,（人の心を操れる能力を持つ私が、歩くペースを操られて<br>体力を奪われるなんて滑稽力すぎないかしら……！？）,0,14,
24,食蜂 操祈,10001801,（……これであの人が見つからなかったら、<br>目も当てられないわね……）,900100015,14,
25,帆風 潤子,93000801,わたくしとした事が不調に気づかず申し訳ございません！<br>只今、派閥の皆さんとも連絡を取りました！,900930013,14,ef_com_00100_002_003_00,
26,帆風 潤子,93000801,っ！　スイーツ店の出店がある場所の近くに<br>休憩所があるそうです！　そちらに向かいましょう！,0,15,ef_com_00100_002_001_00,
27,食蜂 操祈,10001801,そ、そうねぇ……そうしましょぉ……。,900100006,14,
28,食蜂 操祈,10001801,あぁ、あなたが本当の女神様に見えてきたわぁ……。,0,14,
29,帆風 潤子,93000801,女王、お気を確かに！<br>わたくしのはただの仮装です！,900930030,15,ef_com_00100_002_003_00,
#,,,#END,

















