#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,異能決戦ではプレイヤーはグループに振り分けられて、<br>グループ内でランキングを競い合うことになります。,,10,
2,月詠 小萌,6000101,勝利を重ねてランキング上位を狙いましょう！,,10,
3,月詠 小萌,6000101,対戦では他のプレイヤーの「防衛チーム」に挑みますが、<br>バトルは全てオートで進行するので要注意ですよー。,,10,
4,月詠 小萌,6000101,それではまずは、他のプレイヤーを迎撃する<br>「防衛チーム」を作ってみましょう。,,10,
101,月詠 小萌,6000101,防衛チームは他プレイヤーから挑戦を受けた時に<br>使用されます。,,10,
102,月詠 小萌,6000101,アシストキャラは対戦相手には見えないので、<br>アシストの選び方が重要なんですよー。,,10,
103,月詠 小萌,6000101,今回はオススメ編成で作ってみましょう。,,10,














































