#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,メインストーリーでは原作再現の<br>シナリオを楽しめますよー。,,12,
2,月詠 小萌,6000101,今回は練習用に用意したこちらのクエストを<br>選んでくださいね。,,10,
101,月詠 小萌,6000101,バトルの発生するクエストでは、<br>クエストの情報が表示されるですよー。,,20,
102,月詠 小萌,6000101,チームの総合力が推奨総合力くらいあると<br>戦いやすいので参考にしてくださいね。,,10,
103,月詠 小萌,6000101,それと出現エネミーの情報も重要ですよー。<br>しっかりと確認してくださいねー。,,13,
104,月詠 小萌,6000101,バトルに使うチームを選んだらクエスト開始です。,,11,
105,月詠 小萌,6000101,ここでもチーム編集できるので、<br>クエスト情報に合わせて調整してくださいねー。,,12,







































