#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター08：上条当麻の学校　月詠 小萌　姫神 秋沙　,
#,,,嗜好品はほどほどに,
1,姫神 秋沙,23000101,私を居候させてくれてありがとう。小萌先生。<br>今更だけれど感謝している。,900230014,12,
2,月詠 小萌,6000101,水臭いですよー。先生と姫神ちゃんの仲じゃないですか。,900060017,12,ef_com_00100_002_000_00,
3,月詠 小萌,6000101,それに、家出少女の止まり木を作ってあげるのは<br>先生のライフワークみたいなものですから。,900060006,10,
4,月詠 小萌,6000101,姫神ちゃんは姫神ちゃんがしたい事を見つけるまで、<br>ゆっくりしていけばいいですよー。,900060005,12,
5,姫神 秋沙,23000101,……うん。,900230006,11,
6,姫神 秋沙,23000101,でも。お酒とタバコはほどほどにした方がいい。<br>同居人としての忠告。,900230019,13,
7,月詠 小萌,6000101,き、気をつけますです～。,900060012,16,ef_com_00100_002_004_00,




















































