#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_02 チャプター12,
#,,,小賢しい手,,,
#,,,（＊学園都市、街並み、夕方の背景）,
24,上条 当麻,1000201,はあ、はあ！　……か、勝てた？　どうすんだこれ勝っち<br>ゃったよオイ！？,1,21,
25,オティヌス,45000701,（……ま、勝ったら勝ったで問題が増えそうな連中ではあ<br>るけどな）,1,11,
#,,,（＊メッセージの着信を知らせる電子音）,,,
26,インデックス,2000101,ひゃあ！？　なにナニなに！？,1,15,
27,上条 当麻,1000201,借り物のタブレットにメッセージが届いただけだろ。なに<br>これ、ビデオ通話の誘導か？,1,10,
#,,,（＊何かのクリック、タップする音）,,,
28,上条 当麻,1000201,よお。,1,12,
29,ミサカ一〇〇三一号,21000101,「はい。お久しぶりです、と画面の向こうでミサカは<br>頭を下げます。……本当に」,1,10,
#,,,END,









