#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: おみくじログインボーナス演出 チャプター02,
#,,,上条 当麻,,,,
#,,,#【1月2日　5:00　～　1月3日　4:59】,
#,,,#【神社の参道／昼】,
1,上条 当麻,1001101,おっ。来たな！　今日もおみくじが引けるから<br>運試しにやってみてくれ！,900060106_001,10,
2,上条 当麻,1001101,おみくじの結果によって貰えるものが違うんだってさ。<br>それじゃ、早速！　……良い結果になりますように！！,900060106_002,10,
#,,,#【おみくじ結果：中吉の場合】,
4,上条 当麻,1001101,中吉、おめでとう！<br>幸先よさそうだな！,900060106_004,12,
#,,,#【結果に拘わらず共通の締め】,
7,上条 当麻,1001101,さてと。それじゃ明日も忘れずに来てくれよ。<br>待ってるからな！,900060106_007,12,
#,,,#END,































































#,,,#END,


































































