#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
#1,月詠 小萌,6000101,アシストスキルが発動しましたね。アシストスキルは<br>条件を満たすと自動的に発動しますですよー。,,10,
#2,月詠 小萌,6000101,シスターちゃんのスキルはステータス減少デバフです。<br>数ターンの間、弱体させた状態で戦えますよー。,,20,
3,月詠 小萌,6000101,おや？　今回のエネミーには、<br>「ブレイクポイント」があるみたいですー。,,15,
4,月詠 小萌,6000101,ブレイクポイントに攻撃を当てて０にすると<br>エネミーはブレイク状態になるのですよー。,,20,
5,月詠 小萌,6000101,ブレイクしたエネミーは行動を中断して<br>弱点が現れるので、チャンスを作れます。,,21,
6,月詠 小萌,6000101,でも、ブレイクポイントに関係のない方向からの攻撃や<br>攻撃方向がないスキルでは減らせないので注意ですよー。,,13,
7,月詠 小萌,6000101,それでは、ブレイクポイントに攻撃してみましょう。,,12,
101,月詠 小萌,6000101,よくできましたー。<br>ブレイクカウントを減らせましたね。,,12,
102,月詠 小萌,6000101,次は、複数のバトルキャラで協力して攻撃する<br>「連携」を説明しますよー。,,10,
103,月詠 小萌,6000101,連携攻撃のベースになれるキャラには<br>連携ポケットがついていてます。,,20,
104,月詠 小萌,6000101,連携ポケットに連携攻撃させたいキャラを<br>セットすると連携状態になるですよー。,,11,
105,月詠 小萌,6000101,連携状態で攻撃をすると、ベースとなったキャラの<br>攻撃に続いてセットしたキャラが連携攻撃を行います。,,10,
106,月詠 小萌,6000101,連携攻撃では、ベースのキャラと同じ「攻撃方向」<br>「攻撃タイプ」「攻撃属性」で攻撃をするので……,,20,
107,月詠 小萌,6000101,ブレイクポイントに一気に攻撃したり、<br>有利な攻撃属性に変えて攻撃したりできますよー。,,12,
108,月詠 小萌,6000101,ただし、組み合わせによっては不得意な<br>攻撃タイプになってしまうことがあったり……,,13,
109,月詠 小萌,6000101,連携状態で攻撃を受けると、連携した全員がダメージを<br>受けたりするので、連携はよく考えて使ってくださいね。,,16,
110,月詠 小萌,6000101,それでは、御坂美琴さんと上条ちゃんで<br>連携攻撃をしてみましょう！,,12,
201,月詠 小萌,6000101,ブレイク成功ですよー！<br>相手の行動もちゃんと中断できましたね。,,12,
202,月詠 小萌,6000101,ブレイク状態のエネミーには、ブレイクポイントの<br>あった場所に弱点マーカーが出現します。,,20,
203,月詠 小萌,6000101,弱点マーカーに攻撃を当てるとダメージ大幅アップです。<br>必殺技や連携攻撃を当てるチャンスですよ！,,11,
204,月詠 小萌,6000101,それでは御坂美琴さんの<br>必殺技を使ってみましょう。,,10,
205,月詠 小萌,6000101,連携状態のままでは必殺技を使えないので<br>連携状態を解除して選択してみましょう。,,20,
301,月詠 小萌,6000101,おつかれさまでしたー。<br>これでバトルの操作説明は終わりです。,,12,
302,月詠 小萌,6000101,バトルのまとめはこんな感じですよー。,,20,
303,月詠 小萌,6000101,おまけで攻撃属性の相性について<br>簡単に説明しますね。,,10,
304,月詠 小萌,6000101,相性の良い相手にはダメージアップ、<br>相性の悪い相手にはダメージダウンです。,,13,
305,月詠 小萌,6000101,バトルの際には属性相性にも注意ですよー。,,11,























