#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,妹達 チャプター02,
#,,,負けられない戦い,,,,
#,,,#【病院・ロビー・室内ライト】,
1,カエル顔の医者,47000101,わざわざ集まってもらって悪かったね？　ちょっとした<br>通達になるけど、今度健診をするからそのつもりでね？,1,10,
2,御坂妹,21000101,健診……健康診断、ですか？　<br>とミサカ一〇〇三二号は首を傾げます。,1,10,ef_com_00100_002_002_00,
3,カエル顔の医者,47000101,前回の調整をしてから日にちも経ったしね？<br>念のため一度、調べておきたいんだよ。,1,10,
4,カエル顔の医者,47000101,僕の方で機材やスタッフの用意があるからね？<br>健診は来週辺りだと思っててくれるかな？,1,10,
5,カエル顔の医者,47000101,まぁ、健診といっても簡単に身体データを取るだけ<br>だから、全員を診てもすぐに終わると思うよ？,1,11,
6,ミサカ一三五七七号,21000101,全員のデータを取る必要はあるのでしょうか、<br>とミサカ一三五七七号は疑問を呈します。,1,10,
7,ミサカ一〇〇三九号,21000101,計測するまでもなく、ミサカ達は全員一致なのでは、<br>とミサカ一〇〇三九号は問いかけます。,1,10,
8,ミサカ一九〇九〇号,21000101,差など出るはずがありません、<br>とミサカ一九〇九〇号は断言します。,1,11,
9,カエル顔の医者,47000101,そうは言ってもね？　患者一人一人と真摯に向き合う事が<br>医者にとっては必要不可欠でね？,1,21,
10,カエル顔の医者,47000101,無理強いはしないけど、ここは僕の顔を立てて<br>是非受けてくれると嬉しいけど？,1,10,
11,御坂妹,21000101,もとより拒否するつもりはありません、<br>とミサカ一〇〇三二号は了承を伝えます。,1,10,
12,カエル顔の医者,47000101,そう？　なら良かった。食事や運動量で僅かな個体差が<br>生じる可能性もあるからデータが必要でね？,1,10,
13,カエル顔の医者,47000101,それじゃあ、今日の所は解散して良いよ？<br>僕はこれから他の患者を見に行くからね？,1,10,,
14,御坂妹,21000101,……僅かな個体差、とミサカ一〇〇三二号は<br>聞き捨てならない言葉に反応します。,1,10,ef_com_00100_002_001_00,
15,ミサカ一〇〇三九号,21000101,……食事や運動で違いが出る、とミサカ一〇〇三九号は<br>貴重な情報を胸に留めます。,1,11,
16,ミサカ一三五七七号,21000101,……これは検証の必要があります、<br>とミサカ一三五七七号は見解を述べます。,1,11,
17,ミサカ一九〇九〇号,21000101,……おそらく健診までの時間との勝負です、<br>とミサカ一九〇九〇号は早速行動を開始します――。,1,10,
#,,,#【暗転】,1,0,
18,カエル顔の医者,47000101,さて、次の仕事は診察だったかな？<br>診察室の方に……おや？　誰かいるね？,1,20,ef_com_00100_002_001_00,
19,ミサカ一三五七七号,21000101,ふぅ、ふぅ、輪っかを腰で回すのは、なかなか難しい、<br>とミサカは力加減に苦戦します。,1,11,
20,カエル顔の医者,47000101,フラフープをしているのかな？　ああいう普通の<br>遊びをするのは良い傾向かもしれないね？,1,10,
21,ミサカ一三五七七号,21000101,この運動は腰回りに効いている……、<br>とミサカは早くも効果を実感します。,1,10,
22,ミサカ一三五七七号,21000101,腰の動きをより機敏に……ウエストにさらなる負荷を、<br>とミサカはさらに輪っかの回転を速めます。,1,10,,
23,カエル顔の医者,47000101,遊びの割には随分と、<br>熱が入ってるようにも見えるね？,1,10,
24,カエル顔の医者,47000101,おっと、仕事に戻らないといけないね？<br>診察室に急ごうかな――？,1,15,
#,,,#【暗転】,1,0,
25,カエル顔の医者,47000101,うん？　病室のドアが少し開いてるね？<br>ん？　中に誰かいるようだね？,1,20,ef_com_00100_002_001_00,
#,,,#【病院・病室・昼】,1,0,,
26,ミサカ一〇〇三九号,21000101,まずは……鳩のポーズ……、<br>とミサカは胸を後ろに反らします。,1,10,
27,ミサカ一〇〇三九号,21000101,そしてこれが……鶴のポーズ……、<br>とミサカは片手をつき足を上げます。,1,11,
28,ミサカ一〇〇三九号,21000101,体温の上昇と発汗作用を確認しました、<br>とミサカはヨガの効果に驚愕しています。,1,15,
29,ミサカ一〇〇三九号,21000101,これを続ければ必ずや納得の結果を得られます、<br>とミサカは意欲的にヨガに取り組みます。,1,11,,
#,,,#【病院・ロビー・室内ライト】,1,0,
30,カエル顔の医者,47000101,なるほど……ヨガとは、なかなか健康的な趣味だね？<br>まさか他の子も何か運動をしているのかな？,1,10,
31,カエル顔の医者,47000101,それぞれ違う事をしているのは、<br>趣向に差が出てきたという事なのかもしれないね？,1,10,
32,カエル顔の医者,47000101,おや、向かいの病室にも他の子がいるみたいだね？,1,20,ef_com_00100_002_001_00,
#,,,#【病院・病室・昼】,1,0,,
33,ミサカ一九〇九〇号,21000101,１７８……１７９……１８０……、<br>とミサカは……腹筋をっ……！,1,13,ef_com_00100_002_003_00,
#,,,#【病院・ロビー・室内ライト】,1,0,
34,カエル顔の医者,47000101,筋力トレーニングをしているようだね？<br>あまり外に出られない分、体が鈍ってしまうのかな？,1,20,
#,,,#【病院・病室・昼】,1,0,,
35,ミサカ一九〇九〇号,21000101,１９９……２００……ふぅ、<br>とミサカはようやく１セットを終えます。,1,11,
36,ミサカ一九〇九〇号,21000101,腹筋背筋腕立て合わせてあと９セット……、<br>とミサカは遥かな目標に照準を定めます。,1,10,,
#,,,#【病院・ロビー・室内ライト】,1,0,
37,カエル顔の医者,47000101,……随分とハードなトレーニングをするつもりだね？,1,20,
38,カエル顔の医者,47000101,しかし、行動に何パターンもばらつきが出る事は<br>今まであまりなかったはずだけど？,1,11,
39,カエル顔の医者,47000101,向こうにもまた一人いるね？　奥の病室に入っていった<br>のは一〇〇三二号さんだね、様子を見てみようかな？,1,10,ef_com_00100_002_001_00,
#,,,#【病院・病室・昼】,1,0,,
40,御坂妹,21000101,はっ、はっ、カモン、ワンモアセッ、<br>とミサカはステップを踏みます。,1,10,ef_com_00100_002_003_00,
41,御坂妹,21000101,できるできる、やればできる、<br>とミサカはミサカの可能性を信じます。,1,11,
42,御坂妹,21000101,今を頑張れない者に、明日を生きる資格はない、<br>とミサカはスポ根魂を神妙に語ります。,1,13,
#,,,#【病院・ロビー・室内ライト】,1,0,
43,カエル顔の医者,47000101,踊りながら呟いているようだね？<br>あれは一体何をしているんだろう？,1,20,
44,カエル顔の医者,47000101,うん、彼女の足元に置いてあるのは雑誌だね？<br>『ポテンシャルを引き出せ！　自分励ましダイエット』？,1,10,ef_com_00100_002_001_00,
#,,,#【病院・病室・昼】,1,0,,
45,御坂妹,21000101,甘えと甘いものは引っ込んでいなさい、<br>とミサカは自身の内面に警告します。,1,10,
46,御坂妹,21000101,健診の日まで、ミサカの戦いは続きます、<br>とミサカは決意を固めます。,1,13,,
#,,,#【病院・ロビー・室内ライト】,1,0,
47,カエル顔の医者,47000101,なるほど。みんな頑張っているんだね？<br>健診の結果がちょっと楽しみになってきたよ？,1,10,ef_com_00100_002_000_00,
#,,,#END,0,0,

