#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: おみくじログインボーナス演出 チャプター05,
#,,,初春 飾利,,,,
#,,,#【1月5日　5:00　～　1月6日　4:59】,
#,,,#【神社の参道／昼】,
1,初春 飾利,36000901,待ってましたよ！　毎日１回引けるおみくじも<br>今日を入れてあと６回です！,900020118_001,10,
2,初春 飾利,36000901,おみくじの結果で、貰えるものが変わりますから<br>運試しして行ってくださいね。,900020118_002,10,
#,,,#【おみくじ結果：大吉の場合】,
5,初春 飾利,36000901,今日の運勢は大吉ですね。おめでとうございます。<br>お祝いに、屋台でイチゴおでんを食べましょう！！,900020118_005,10,
#,,,#【結果に拘わらず共通の締め】,
7,初春 飾利,36000901,今日は来てくれてありがとうございます。<br>明日も来てくれないと、きっと何かトラブルが……。,900020118_007,12,
#,,,#END,































































#,,,#END,


































































