#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター01,
,,,闇を祓う雷光,,,
#,,,（＊学園都市、表通り、夜の背景）,
28,トール,99000101,はは、あー、あー……。,1,16,
29,トール,99000101,ちくしょう、おかしいぞ。俺が負けるにしても、ここじゃ<br>あねえだろうが。,1,16,
30,レイヴィニア,43000101,はあ、ふう。,1,16,
31,レイヴィニア,43000101,これでも、一応、『明け色の陽射し』を束ねるボスだぞ、<br>私だって……。,1,16,
32,トール,99000101,恋するパワーを見せてもらいました。痛って肋骨とかフツ<br>ーに折れちゃうレベルなのね。,1,16,
33,レイヴィニア,43000101,……丁寧にトドメを刺してほしいのか？,1,22,
34,トール,99000101,でもこれって優しさかあ？,1,14,
35,トール,99000101,あの状況、放っておけば見たくもないモノ見せられるのは<br>変わんねえと思うぜ。,1,11,
36,レイヴィニア,43000101,だとしても、それはここまでの積み重ねを経て自分の選択<br>で受け入れるべきだ。,1,11,
37,レイヴィニア,43000101,デウスエクスマキナのご登場で強引に決着、なんて展開誰<br>も望んじゃいないんだよ……クソが……。,1,14,
#,,,（＊バードウェイのイラストをゆっくり消す。トールに勝ったものの、力尽きて倒れた演出です）,,11,
#,,,END,
