#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: とある天衣の夏色追想 チャプター10,
#,,,女王からの贈り物,
#,,,#【常盤台中学・外観（中庭）・昼】,
1,食蜂 操祈,10000101,――なんて。<br>そんなこともあったわね。,900100002,12,,
2,食蜂 操祈,10000101,あの時はあなた、大活躍だったわねぇ。,0,12,
3,帆風 潤子,93000101,大活躍だなんてそんな……。,900930008,14,,
4,帆風 潤子,93000101,あの時は<ruby>風紀委員</ruby>の方がいなかったら、<br>どうなっていたかわかりませんし……。,0,14,,
5,食蜂 操祈,10000101,その<ruby>風紀委員</ruby>だって、<br>あなたが居なかったらどうなってたかわからないのよ？,900100007,10,,
6,食蜂 操祈,10000101,事件解決の役に立ったのだから、<br>そこは誇っておきなさい。,0,10,
7,帆風 潤子,93000101,は、はい。<br>ありがとうございます。,900930014,12,ef_com_00100_002_000_00,
8,食蜂 操祈,10000101,……それにしてもあなた。<br>あの時はちょっと頑張りすぎたんじゃないかしら？,900100005,10,
9,帆風 潤子,93000101,どういうことでしょう？,900930030,15,ef_com_00100_002_002_00,
10,食蜂 操祈,10000101,だってぇ、水着なんてなくなっても<br>買いなおせばいいだけじゃなぁい？,900100006,23,
11,食蜂 操祈,10000101,それにあなたの水着は無事だったのだし、<br>必死になる理由がわからないのよねぇ。どうして？,0,22,ef_com_00100_002_002_00,
12,帆風 潤子,93000101,それは……女王の水着が盗まれそうになっていたので。,900930015,14,
13,帆風 潤子,93000101,女王はあの白い水着をなにやら大切そうにしていたので、<br>とても大事なものだったのかと……。,0,14,
14,食蜂 操祈,10000101,なるほど。だから私の水着を守ってくれたのね……。,900100004,10,
15,食蜂 操祈,10000101,ありがとう、帆風。<br>私の水着を取り返してくれて♪,900100014,12,ef_com_00100_002_000_00,
16,食蜂 操祈,10000101,あの水着が返ってきて、<br>本当にほっとしてるわぁ。,0,12,
17,帆風 潤子,93000101,女王のお役に立てたなら何よりです！,900930011,17,
18,派閥メンバー,507000106,ご歓談中の所失礼します。<br>女王、小包が届いていたのでお届けに参りました。,905070001,10,,
19,食蜂 操祈,10000101,ああ、やっと届いたのね。<br>ありがとう、下がっていいわよ。,900100003,10,
20,派閥メンバー,507000106,はい！　では、失礼します。,905070002,10,,
21,帆風 潤子,93000101,女王、それは？,900930028,10,ef_com_00100_002_002_00,
22,食蜂 操祈,10000101,あなたへのプレゼントよ。ほら。,900100002,12,
23,帆風 潤子,93000101,わ、わたくしにですか！？<br>女王からのプレゼント……！,900930017,15,ef_com_00100_002_003_00,
24,食蜂 操祈,10000101,開けてみなさい。<br>きっと気に入るわよ。,900100029,10,
25,帆風 潤子,93000101,はい、では早速――。,900930004,12,
26,帆風 潤子,93000101,これは……わたくしがあの事件の時に<br>破いてしまった水着の新品……？,900930030,15,ef_com_00100_002_001_00,
27,食蜂 操祈,10000101,あの時破れてしまって凄く落ち込んでたでしょう？<br>だから新しいの買いなおしたの。,900100005,10,
28,食蜂 操祈,10000101,それも前のよりもあなたの体に合わせた特注品よぉ。<br>今度はちゃんと大事にするんダゾ☆,0,21,ef_com_00100_002_007_00,
29,帆風 潤子,93000101,……はい！<br>一生の家宝にしますわ！,900930011,17,
30,食蜂 操祈,10000101,流石に大げさよぉ。<br>けど、喜んでくれたなら買いなおした甲斐があったわね。,900100002,12,
31,食蜂 操祈,10000101,さて、こんなに暑いならまだまだ需要はありそうねぇ。<br>あなたの水着にふさわしいところに行くわよ☆,0,10,
32,帆風 潤子,93000101,はい！　どこまでもお供しますわ！,900930004,17,ef_com_00100_002_000_00,
#,,,#END,





























