#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター14：駅周辺　上条 当麻　御坂 美琴　,
#,,,宿題はエンドレス,
1,上条 当麻,1000101,ふわ～ぁあああああ……。,900010015,11,
2,御坂 美琴,4000102,すっごいアクビ。なに、寝不足？,900040001,15,ef_com_00100_002_002_00,
3,上条 当麻,1000101,宿題が終わらんかった。と言うか今も終わってない。,900010023,14,ef_com_00100_002_006_00,
4,御坂 美琴,4000102,……昨日の宿題が今日終わってないって。<br>それ、つまり提出できてないんじゃないの？,900040015,21,
5,上条 当麻,1000101,鋭いな。<br>しかも罰として今日は昨日の二倍の宿題を追加された。,900010027,16,ef_com_00100_002_004_00,
6,御坂 美琴,4000102,よくそんな綱渡りな学生生活送ってるわね……。,900040015,14,
7,上条 当麻,1000101,もう何もかも諦めて未提出を貫こうか思案中だ。,900010005,11,
8,御坂 美琴,4000102,なに、ヤケになってんのよ。<br>……なんなら手伝ってあげてもいいけど？,900040015,10,ef_com_00100_002_001_00,
9,上条 当麻,1000101,え、一応俺も高校生なんで中学生の手を借りるのは……。,900010007,21,
10,御坂 美琴,4000102,そんな事言ってる場合じゃないと思うけど。<br>ま、そんなら諦めて未提出を貫けば？　,900040004,10,
11,上条 当麻,1000101,うわ、そう突き放されると頼れば良かったって思うな。,900010017,15,ef_com_00100_002_004_00,
12,御坂 美琴,4000102,どっちなのよ、まったく。,900040024,14,
13,上条 当麻,1000101,……とりあえずもうちょっと思案します。,900010015,11,
