#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_01 チャプター01,
#,,,迫りくる行き止まり,,,
#,,,（＊背景は夜の学園都市の街並みや公園など？）,
20,上条 当麻,1000201,……、……。,1,16,
21,サーティーンデス,241000101,そろそろかな？,1,10,
22,サーティーンデス,241000101,不毛だって思ったかな？　永遠に終わらないって諦めたか<br>な！？　ギブアップですかあ！？,1,12,
23,サーティーンデス,241000101,それじゃあ約束通りこっちのターンだ。,1,21,
24,サーティーンデス,241000101,終わらせてやるよお！　このサーティーンデスが！！,1,12,
#,,,（＊白でゆっくり画面を埋めていく。背景もキャラのイラストも消していく感じで。サーティーンデスが何かしら光を発する魔術を真正面から使っているが、上条側には対処する余裕がない、といった演出です）,
25,上条 当麻,1000201,（何で……）,1,14,
26,上条 当麻,1000201,（なんで、こんなことになった……？）,1,14,
#,,,（＊ぐしゃっというダメージ系の効果音と共に画面を一瞬で真っ暗に。上条の意識が落ちた？　と思わせる演出を）,,,
#,,,END,
