#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター13,
,,,とある少女,,,
#,,,（＊学園都市、街並み、夜の背景）,
33,上条 当麻,1000201,なにか……。,1,16,
34,上条 当麻,1000201,せめて何か、今ここで言い残す事とかないのか！？　誰か<br>に伝えたい事とか！！,1,20,
35,上条 当麻,1000201,ゲームセンターのコイン？,1,20,
36,上条 当麻,1000201,お前が言ったメッセージとか、ほんとにできるかはまだ確<br>定していないんだ。だからここで何か……ッ！！,1,20,
37,フレンダ,19000201,……そうね。,1,11,
38,フレンダ,19000201,フレメア……。,1,11,
39,フレンダ,19000201,……かのう……。,1,11,
40,フレンダ,19000201,浜面。,1,11,
41,フレンダ,19000201,きぬはた。,1,11,
42,フレンダ,19000201,滝壺。,1,11,
43,フレンダ,19000201,むぎの……。,1,11,
44,フレンダ,19000201,……佐……。,1,11,
45,フレンダ,19000201,……。,1,11,
#,,,（＊４６のフレンダは笑顔で）,
46,フレンダ,19000201,……いや、結局何もない、かな？,1,12,
#,,,END,
