#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,37000101,佐天 涙子,10,,
chara,36000101,初春 飾利,10,,
chara,4000102,御坂 美琴,10,,
talk,start,,,,
+talk,show,0,,,
place,佐天 涙子,初春 飾利,御坂 美琴,,
+佐天 涙子.fade,out,0.1,,,
+初春 飾利.fade,out,0.1,,,
+御坂 美琴.fade,out,0.1,,,
stage,010001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010003,1,,
# 会話開始,
talk,1,佐天 涙子,,,
+talk,show,1,
+佐天 涙子.fade,in,0.5,
talk,2,初春 飾利,,,
+初春 飾利.fade,in,0.5,
talk,3,御坂 美琴,,,
+御坂 美琴.fade,in,0.5,
talk,4,佐天 涙子,,,
talk,5,御坂 美琴,,,
talk,6,佐天 涙子,,,
talk,7,初春 飾利,,,
talk,8,御坂 美琴,,,
bgm,play,30010006,1,,
talk,9,佐天 涙子,,,
talk,10,御坂 美琴,,,
talk,11,佐天 涙子,,,
talk,12,御坂 美琴,,,
talk,13,佐天 涙子,,,
talk,14,御坂 美琴,,,
talk,15,佐天 涙子,,,
bgm,play,30010005,1,,
talk,16,御坂 美琴,,,
talk,17,佐天 涙子,,,
talk,18,初春 飾利,,,
talk,19,御坂 美琴,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































