#command,param1,param2,param3,param4,
#,
print,ラストオーダー チャプター05,
control,1,
bgm,stop,
stage,7002003,,,,
bgm,play,30010001,,,
chara,22000101,打ち止め,11,
chara,13001001,一方通行,20,
place,一方通行,打ち止め,
+打ち止め.fade,out,0.1,
+一方通行.fade,out,0.1,
talk,start,
+talk,show,0,
+fade,in,1.0,#000000,0,
打ち止め.fade,in,0.5,
+talk,1,打ち止め,,,
+talk,show,1,
一方通行.fade,in,0.5,
+talk,2,一方通行,,,
talk,3,打ち止め,,,
talk,4,打ち止め,,,
talk,5,一方通行,,,
talk,6,一方通行,,,
talk,7,打ち止め,,,
talk,8,一方通行,,,
talk,9,打ち止め,,,
talk,10,一方通行,,,
talk,11,打ち止め,,,
talk,12,一方通行,,,
talk,13,打ち止め,,,
talk,14,一方通行,,,
talk,15,打ち止め,,,
fade,out,1.5,#FFFFFF,0,
+talk,show,0,
打ち止め.fade,out,0.1,
+一方通行.fade,out,0.1,
打ち止め.facial,11,
+一方通行.facial,20,
place,一方通行,打ち止め,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
一方通行.fade,in,0.5,
+talk,16,一方通行,,,
+talk,show,1,
打ち止め.fade,in,0.5,
+talk,17,打ち止め,,,
talk,18,打ち止め,,,
talk,19,一方通行,,,
talk,20,打ち止め,,,
talk,21,一方通行,,,
talk,22,打ち止め,,,
talk,23,打ち止め,,,
talk,24,打ち止め,,,
talk,25,一方通行,,,
talk,26,打ち止め,,,
talk,27,一方通行,,,
talk,28,打ち止め,,,
talk,29,一方通行,,,
talk,30,打ち止め,,,
talk,31,一方通行,,,
talk,32,打ち止め,,,
talk,33,一方通行,,,
talk,34,打ち止め,,,
talk,35,打ち止め,,,
talk,36,一方通行,,,
talk,37,打ち止め,,,
talk,38,打ち止め,,,
fade,out,1.5,#FFFFFF,0,
+talk,show,0,
打ち止め.fade,out,0.1,
+一方通行.fade,out,0.1,
打ち止め.facial,20,
+一方通行.facial,20,
stage,5004003,,,,
place,一方通行,打ち止め,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
打ち止め.fade,in,0.5,
+talk,39,打ち止め,,,
+talk,show,1,
talk,40,打ち止め,,,
一方通行.fade,in,0.5,
+talk,41,一方通行,,,
talk,42,打ち止め,,,
talk,43,一方通行,,,
talk,44,打ち止め,,,
talk,45,一方通行,,,
talk,46,打ち止め,,,
talk,47,打ち止め,,,
bgm,play,30010005,,,
talk,48,打ち止め,,,
talk,49,一方通行,,,
talk,50,打ち止め,,,
talk,51,打ち止め,,,
talk,52,一方通行,,,
talk,53,打ち止め,,,
talk,54,打ち止め,,,
talk,55,打ち止め,,,
talk,56,打ち止め,,,
bgm,play,30010022,,,
talk,57,一方通行,,,
talk,58,打ち止め,,,
talk,59,打ち止め,,,
talk,60,一方通行,,,
talk,61,打ち止め,,,
talk,62,一方通行,,,
talk,63,打ち止め,,,
talk,64,打ち止め,,,
talk,65,一方通行,,,
talk,66,打ち止め,,,
talk,67,打ち止め,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],








