#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,44001004,,,,,
bgm,stop,,,,,
chara,103000801,上里 翔流,10,
chara,1000401,上条 当麻,10,
chara,105000101,烏丸 府蘭,15,
chara,155000701,去鳴,13,
chara,247000101,琉華,13,
+place,上条 当麻,
+focus,on,上条 当麻,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,上条 当麻,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
bgm,play,30010001,,,,
talk,3,上条 当麻,,,,
talk,4,上条 当麻,,,,
talk,5,上条 当麻,,,,
wait,1,
上条 当麻.fade,out,0.5,
talk,6,烏丸 府蘭,,,,
+se,play,300200000480,,,,
+烏丸 府蘭.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+place,烏丸 府蘭,上条 当麻,
wait,1,
talk,7,上条 当麻,,,,
talk,8,上条 当麻,,,,
talk,9,烏丸 府蘭,,,,
talk,10,上条 当麻,,,,
bgm,stop,,,,,
talk,11,上条 当麻,,,,
talk,12,烏丸 府蘭,,,,
bgm,play,30010011,,,,
talk,13,上条 当麻,,,,
talk,14,上条 当麻,,,,
talk,15,烏丸 府蘭,,,,
talk,16,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,17,上条 当麻,,,,
talk,18,烏丸 府蘭,,,,
talk,19,上条 当麻,,,,
bgm,play,30010001,,,,
talk,20,上条 当麻,,,,
talk,21,烏丸 府蘭,,,,
talk,22,上条 当麻,,,,
talk,23,烏丸 府蘭,,,,
se,play,300300000280,,,,
talk,24,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,25,烏丸 府蘭,,,,
+se,play,300300000280,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
stage,15001001,,,,,
talk,show,0,
烏丸 府蘭.fade,out,0.5,
+上里 翔流.fade,in,0.5,
+上条 当麻.facial,14,
+focus,on,上条 当麻,
+place,上里 翔流,上条 当麻,
wait,1.5,
fade,in,1,#000000,0,
bgm,play,30010008,,,,
talk,26,上条 当麻,,,,
+talk,show,1,
talk,27,上里 翔流,,,,
talk,28,上条 当麻,,,,
talk,29,上里 翔流,,,,
talk,30,上里 翔流,,,,
talk,31,上里 翔流,,,,
talk,32,上条 当麻,,,,
talk,33,上里 翔流,,,,
talk,34,上里 翔流,,,,
talk,35,上里 翔流,,,,
bgm,play,30010010,,,,
talk,36,上里 翔流,,,,
talk,37,上条 当麻,,,,
talk,38,上里 翔流,,,,
talk,39,上里 翔流,,,,
talk,40,上里 翔流,,,,
talk,41,上里 翔流,,,,
talk,42,上里 翔流,,,,
talk,43,上里 翔流,,,,
talk,44,上里 翔流,,,,
talk,45,上条 当麻,,,,
talk,46,上里 翔流,,,,
talk,47,上里 翔流,,,,
talk,48,上条 当麻,,,,
talk,49,上里 翔流,,,,
talk,50,上里 翔流,,,,
talk,51,上里 翔流,,,,
talk,52,上里 翔流,,,,
talk,53,上里 翔流,,,,
