#command,param1,param2,param3,param4,
#,
print,イギリス正教必要悪の教会 Chapter11,
stage,7004002,,,,
control,1,
bgm,stop,
chara,25000101,神裂 火織,11,
chara,1000101,上条 当麻,21,
fade,in,1,#000000,0,
+focus,off,神裂 火織,
+place,神裂 火織,
+talk,start,
+talk,show,0,
wait,0.5,
se,play,300700000830,,,
+stage.shake,"(0.10,0)","(10,0)",1,
talk,1,神裂 火織,,,
+talk,show,1,
se,play,300700000830,,,
+stage.shake,"(0.10,0)","(10,0)",1,
+focus,off,神裂 火織,
talk,2,神裂 火織,,,
se,play,300700000830,,,
+stage.shake,"(0.10,0)","(10,0)",1,
+focus,off,神裂 火織,
talk,3,神裂 火織,,,
bgm,play,30010001,1,,
talk,4,神裂 火織,,,
talk,5,神裂 火織,,,
talk,6,神裂 火織,,,
talk,7,上条 当麻,,,
+神裂 火織.fade,out,0.5,
+上条 当麻.fade,in,0.5,
+神裂 火織.fade,in,0.5,
+place,神裂 火織,上条 当麻,
+focus,on,上条 当麻,
talk,8,神裂 火織,,,
talk,9,上条 当麻,,,
talk,10,上条 当麻,,,
talk,11,神裂 火織,,,
talk,12,上条 当麻,,,
talk,13,神裂 火織,,,
talk,14,上条 当麻,,,
talk,15,神裂 火織,,,
talk,16,上条 当麻,,,
bgm,play,30010006,1,,
talk,17,神裂 火織,,,
talk,18,神裂 火織,,,
talk,19,神裂 火織,,,
talk,20,上条 当麻,,,
talk,21,神裂 火織,,,
bgm,play,30010006,1,,
talk,22,上条 当麻,,,
talk,23,神裂 火織,,,
talk,24,上条 当麻,,,
talk,25,神裂 火織,,,
talk,26,神裂 火織,,,
talk,27,上条 当麻,,,
talk,28,神裂 火織,,,
talk,29,上条 当麻,,,
talk,30,神裂 火織,,,
talk,31,神裂 火織,,,
se,play,300200000102,,,
神裂 火織.move,0,4,0.7,
+神裂 火織.fade,out,0.5,
wait,1,
talk,32,上条 当麻,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
