#command,param1,param2,param3,param4,
#,
control,1,
stage,26001004,,,,
bgm,stop,,,,
chara,4000101,御坂 美琴,10,
chara,128000801,テレスティーナ,10,
+place,御坂 美琴,テレスティーナ,
+focus,on,テレスティーナ,
image,100020901,1,シーン01,
シーン01.fade,in,0.5,
bgm,play,30010010,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
#,#,,,,
#,#,,,,
talk,1,テレスティーナ,,,
+talk,show,1,
talk,2,御坂 美琴,,,
#,#,,,,
talk,3,テレスティーナ,,,
#,#,,,,
talk,4,テレスティーナ,,,
#,#,,,,
talk,5,テレスティーナ,,,
#,#,,,,
talk,6,テレスティーナ,,,
#,#,,,,
talk,7,テレスティーナ,,,
#,#,,,,
talk,8,テレスティーナ,,,
#,#,,,,
image,100020901,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,
talk,9,御坂 美琴,,,
#,#,,,,
talk,10,テレスティーナ,,,
#,#,,,,
talk,11,御坂 美琴,,,
#,#,,,,
talk,12,御坂 美琴,,,
#,#,,,,
talk,13,御坂 美琴,,,
talk,14,テレスティーナ,,,
#,#,,,,
御坂 美琴.facial,20,
+テレスティーナ.facial,11,
+focus,on,テレスティーナ,
シーン02.fade,out,0.5,
wait,1,
talk,15,テレスティーナ,,,
#,#,,,,
talk,16,テレスティーナ,,,
talk,17,テレスティーナ,,,
#,#,,,,
talk,18,テレスティーナ,,,
talk,19,テレスティーナ,,,
talk,20,御坂 美琴,,,
#,#,,,,
talk,21,御坂 美琴,,,
#,#,,,,
talk,22,御坂 美琴,,,
#,#,,,,
talk,23,御坂 美琴,,,
#,#,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
screen.effect,ef_com_00000_001_009_01,"(0,0)",0,0,
image,100020828,13,シーン03,
シーン03.fade,in,0.5,
bgm,stop,,,,
wait,1,
bgm,play,30010018,,,
fade,in,1,#FFFFFF,0,
wait,2,
image,100020811,4,シーン04,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
wait,2,
image,100020719,15,シーン05,
シーン05.fade,in,0.5,
シーン04.fade,out,0.1,
wait,2,
fade,out,1,#FFFFFF,0,
talk,show,0,
screen.effect,stop,,,,
御坂 美琴.facial,20,
+テレスティーナ.facial,11,
+focus,on,御坂 美琴,
シーン05.fade,out,0.1,
bgm,stop,,,,
wait,1,
bgm,play,30010010,,,
fade,in,1,#FFFFFF,0,
wait,1,
talk,24,御坂 美琴,,,
+talk,show,1,
#,#,,,,
talk,25,御坂 美琴,,,
#,#,,,,
talk,26,テレスティーナ,,,
#,#,,,,
talk,27,テレスティーナ,,,
talk,28,御坂 美琴,,,
#,#,,,,
talk,29,御坂 美琴,,,
talk,30,テレスティーナ,,,
#,#,,,,
image,100020901,3,シーン06,
シーン06.fade,in,0.5,
wait,1,
talk,31,御坂 美琴,,,
#,#,,,,
talk,32,御坂 美琴,,,
talk,33,テレスティーナ,,,
#,#,,,,
御坂 美琴.facial,20,
+テレスティーナ.facial,11,
+focus,on,テレスティーナ,
シーン06.fade,out,0.5,
wait,1,
talk,34,テレスティーナ,,,
talk,35,御坂 美琴,,,
#,#,,,,
talk,36,テレスティーナ,,,
#,#,,,,
talk,37,御坂 美琴,,,
#,#,,,,
talk,38,テレスティーナ,,,
#,#,,,,
image,100020901,4,シーン07,
シーン07.fade,in,0.5,
wait,1,
talk,39,テレスティーナ,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
