#command,param1,param2,param3,param4,
#,
print,科学サイドストーリー Chapter14,
stage,014001001,,,,
control,1,
bgm,stop,
chara,5000101,白井 黒子,12,
chara,36000101,初春 飾利,14,
chara,37000101,佐天 涙子,21,
fade,in,1,#000000,0,
+focus,on,白井 黒子,
+place,白井 黒子,初春 飾利,
+talk,start,
+talk,show,0,
bgm,play,30010001,,,
wait,0.5,
talk,1,白井 黒子,,,
+talk,show,1,
talk,2,白井 黒子,,,
talk,3,初春 飾利,,,
se,play,300100000030,
talk,4,白井 黒子,,,
talk,5,初春 飾利,,,
talk,6,白井 黒子,,,
talk,7,初春 飾利,,,
talk,8,白井 黒子,,,
talk,9,初春 飾利,,,
talk,10,白井 黒子,,,
talk,11,初春 飾利,,,
talk,12,白井 黒子,,,
talk,13,初春 飾利,,,
talk,14,初春 飾利,,,
talk,15,白井 黒子,,,
talk,16,白井 黒子,,,
talk,17,初春 飾利,,,
talk,18,白井 黒子,,,
bgm,play,30010005,,,
talk,19,初春 飾利,,,
talk,20,白井 黒子,,,
talk,21,初春 飾利,,,
se,play,300200000012,,,
白井 黒子.fade,in,0.5,
+白井 黒子.move,0,4,1,
wait,1,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
talk,show,0,
+初春 飾利.facial,10,
+place,空白,初春 飾利,
+stage,007002001,,,,
+focus,on,初春 飾利,
wait,1,
fade,in,1,#FFFFFF,0,
bgm,play,30010003,,,
talk,22,初春 飾利,,,
+talk,show,1,
talk,23,初春 飾利,,,
+se,play,300100000370,,,
talk,24,？？？,,,
se,play,300400000320,,,
佐天 涙子.fade,in,0.5,
+佐天 涙子.move,5,0,1,
+place,佐天 涙子,初春 飾利,
talk,25,初春 飾利,,,
+se,play,300400000080,,,
+初春 飾利.shake,"(0.10,0)","(10,0)",1,
bgm,play,30010005,,,
talk,26,佐天 涙子,,,
talk,27,初春 飾利,,,
talk,28,初春 飾利,,,
talk,29,初春 飾利,,,
talk,30,佐天 涙子,,,
talk,31,初春 飾利,,,
talk,32,佐天 涙子,,,
talk,33,初春 飾利,,,
se,play,300200000510,,,
+初春 飾利.fade,out,0.5,
talk,34,佐天 涙子,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
