#command,param1,param2,param3,param4,param5,param6,
#,
print,黄泉川ファミリー Chapter06,
control,1,
stage,007013004,,,,,,
bgm,stop,,,,,,
chara,60000101,女性店員,10,
chara,13000201,一方通行,11,
chara,22000101,打ち止め,10,
+女性店員.fade,out,0.1,
+一方通行.fade,in,0.1,
+打ち止め.fade,in,0.1,
+place,一方通行,打ち止め,
+focus,on,一方通行,
bgm,play,30010001,,,,,
+talk,start,
+talk,show,0,
fade,in,1,#000000,0,
wait,0.5,
talk,show,1,
+talk,1,一方通行,,,,,
talk,2,打ち止め,,,,,
打ち止め.move,1,0,0.3,
一方通行.shake,"(0.10,0)","(10,0)",1,
+se,play,300400000320,,,,,
打ち止め.move,0,1,0.3,
talk,3,一方通行,,,,,
talk,4,打ち止め,,,,,
talk,5,打ち止め,,,,,
talk,6,一方通行,,,,,
talk,7,打ち止め,,,,,
talk,8,一方通行,,,,,
+se,play,0300400000280,,,,,
talk,9,打ち止め,,,,,
talk,10,打ち止め,,,,,
talk,11,打ち止め,,,,,
talk,12,一方通行,,,,,
talk,13,打ち止め,,,,,
talk,14,一方通行,,,,,
talk,15,打ち止め,,,,,
+打ち止め.shake,"(0,0.5,0)","(0,3)",1,
+se,play,300200000790,,,,,
talk,16,一方通行,,,,,
talk,17,打ち止め,,,,,
talk,18,打ち止め,,,,,
bgm,stop,,,,,,
talk,19,打ち止め,,,,,
+bgm,play,30010018,,,,,
talk,20,打ち止め,,,,,
talk,21,打ち止め,,,,,
wait,2,
talk,22,一方通行,,,,,
+bgm,stop,,,,,,
talk,23,打ち止め,,,,,
talk,24,一方通行,,,,,
talk,25,打ち止め,,,,,
talk,26,一方通行,,,,,
talk,27,打ち止め,,,,,
talk,28,一方通行,,,,,
wait,1,
fade,out,1,#FFFFFF,0,,,
talk,show,0,
+一方通行.fade,out,0.1,
+打ち止め.fade,out,0.1,
+stage,15001001,,,,,,
place,女性店員,打ち止め,一方通行,
+女性店員.fade,in,0.1,
+一方通行.fade,in,0.1,
+打ち止め.fade,in,0.1,
+bgm,play,30010003,,,,,
wait,1,
fade,in,1,#FFFFFF,0,
talk,29,打ち止め,,,,,
+talk,show,1,
talk,30,打ち止め,,,,,
talk,31,女性店員,,,,,
talk,32,女性店員,,,,,
talk,33,女性店員,,,,,
+bgm,play,30010006,,,,,
talk,34,打ち止め,,,,,
+打ち止め.shake,"(0.10,0)","(10,0)",1,
+se,play,300200000500,,,,,
talk,35,女性店員,,,,,
talk,36,打ち止め,,,,,
talk,37,打ち止め,,,,,
talk,38,打ち止め,,,,,
talk,39,女性店員,,,,,
talk,40,一方通行,,,,,
talk,41,打ち止め,,,,,
talk,42,一方通行,,,,,
talk,43,打ち止め,,,,,
+打ち止め.shake,"(0,0.5,0)","(0,3)",1,
+se,play,300200000790,,,,,
talk,44,打ち止め,,,,,
talk,45,一方通行,,,,,
talk,46,打ち止め,,,,,
talk,47,一方通行,,,,,
talk,48,打ち止め,,,,,
talk,49,一方通行,,,,,
se,play,300100000010,,,,,
wait,1,
se,play,300100000020,,,,,
talk,50,一方通行,,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],










