#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,18000201,絹旗 最愛,10,,
talk,start,,,,
+talk,show,0,,,
place,絹旗 最愛,,,,
+絹旗 最愛.fade,out,0.1,,,
stage,015001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010001,1,,
# 会話開始,
talk,1,絹旗 最愛,,,
+talk,show,1,,,
+絹旗 最愛.fade,in,0.5,,,
talk,2,絹旗 最愛,,,
talk,3,絹旗 最愛,,,
talk,4,絹旗 最愛,,,
talk,5,絹旗 最愛,,,
talk,6,絹旗 最愛,,,
talk,7,絹旗 最愛,,,
+se,play,0300800000500,
+絹旗 最愛.shake,"(0.90,0)","(1,2)",2,
talk,8,絹旗 最愛,,,
talk,9,絹旗 最愛,,,
talk,10,絹旗 最愛,,,
talk,11,絹旗 最愛,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































