#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,21001001,,,,,
bgm,stop,,,,,
chara,24000101,ステイル,10,
chara,27000101,シェリー,10,
chara,25000201,神裂 火織,12,
chara,28000101,オルソラ,12,
chara,32000101,ルチア,13,
chara,31000101,アニェーゼ,13,
chara,33000101,アンジェレネ,10,
+place,ステイル,空白,空白,オルソラ,
+focus,on,ステイル,
bgm,play,30010001,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,ステイル,,,,
+talk,show,1,
talk,2,オルソラ,,,,
wait,1,
bgm,play,30010006,,,,
talk,3,シェリー,,,,
+シェリー.fade,in,0.5,
+place,ステイル,シェリー,空白,オルソラ,
talk,4,オルソラ,,,,
talk,5,アンジェレネ,,,,
+アンジェレネ.fade,in,0.5,
+place,ステイル,シェリー,アンジェレネ,オルソラ,
talk,6,アンジェレネ,,,,
シェリー.fade,out,0.5,
talk,7,ルチア,,,,
+ルチア.fade,in,0.5,
+place,ステイル,ルチア,アンジェレネ,オルソラ,
talk,8,ルチア,,,,
talk,9,アンジェレネ,,,,
オルソラ.fade,out,0.5,
talk,10,アニェーゼ,,,,
+アニェーゼ.fade,in,0.5,
+place,ステイル,ルチア,アンジェレネ,アニェーゼ,
talk,11,アンジェレネ,,,,
talk,12,アニェーゼ,,,,
talk,13,アンジェレネ,,,,
+アンジェレネ.shake,"(0.10,0)","(10,0)",1,
wait,1,
ステイル.fade,out,0.5,
+ルチア.fade,out,0.5,
+アンジェレネ.fade,out,0.5,
+アニェーゼ.fade,out,0.5,
+talk,show,0,
wait,1,
talk,14,神裂 火織,,,,
+talk,show,1,
+se,play,300200000480,,,,
+ステイル.fade,in,0.5,
+神裂 火織.fade,in,0.5,
+ステイル.facial,14,
+place,ステイル,神裂 火織,
talk,15,ステイル,,,,
talk,16,神裂 火織,,,,
talk,17,ステイル,,,,
talk,18,神裂 火織,,,,
bgm,stop,,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
stage,28001004,,,,,
ステイル.facial,14,
+神裂 火織.facial,10,
+focus,on,神裂 火織,
wait,1,
fade,in,1,#FFFFFF,0,
bgm,play,30010001,,,,
talk,19,神裂 火織,,,,
+talk,show,1,
talk,20,ステイル,,,,
talk,21,神裂 火織,,,,
talk,22,ステイル,,,,
talk,23,ステイル,,,,
talk,24,ステイル,,,,
talk,25,神裂 火織,,,,
bgm,stop,,,,,
talk,26,ステイル,,,,
bgm,play,30010009,,,,
talk,27,神裂 火織,,,,
talk,28,ステイル,,,,
talk,29,神裂 火織,,,,
talk,30,ステイル,,,,
talk,31,ステイル,,,,
talk,32,ステイル,,,,
talk,33,神裂 火織,,,,
talk,34,ステイル,,,,
talk,35,ステイル,,,,
talk,36,神裂 火織,,,,
talk,37,ステイル,,,,
talk,38,神裂 火織,,,,
talk,39,神裂 火織,,,,
talk,40,ステイル,,,,
talk,41,神裂 火織,,,,
talk,42,神裂 火織,,,,
talk,43,ステイル,,,,
talk,44,ステイル,,,,
talk,45,ステイル,,,,
talk,46,神裂 火織,,,,
talk,47,ステイル,,,,
talk,48,ステイル,,,,
talk,49,ステイル,,,,
talk,50,神裂 火織,,,,
talk,51,ステイル,,,,
talk,52,ステイル,,,,
talk,53,ステイル,,,,
talk,54,神裂 火織,,,,
talk,55,ステイル,,,,
talk,56,ステイル,,,,
talk,57,神裂 火織,,,,
talk,58,ステイル,,,,
talk,59,ステイル,,,,
talk,60,ステイル,,,,
talk,61,ステイル,,,,
talk,62,神裂 火織,,,,
talk,63,ステイル,,,,
talk,64,神裂 火織,,,,
bgm,stop,,,,,
talk,65,ステイル,,,,
talk,66,神裂 火織,,,,
+神裂 火織.shake,"(0.10,0)","(10,0)",1,
bgm,play,30010006,,,,
talk,67,ステイル,,,,
talk,68,神裂 火織,,,,
talk,69,神裂 火織,,,,
talk,70,神裂 火織,,,,
talk,71,神裂 火織,,,,
talk,72,神裂 火織,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
