#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,3004001,,,,,,
bgm,stop,
chara,93000201,帆風 潤子,14,
chara,10000201,食蜂 操祈,22,
chara,4000202,御坂 美琴,12,
chara,5000201,白井 黒子,12,
+place,白井 黒子,御坂 美琴,
+御坂 美琴.move,"(0,290)","(0,290)",0,
+白井 黒子.move,"(-800,290)","(-800,290)",0,
+focus,on,御坂 美琴,
bgm,play,30010001,,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
talk,1,御坂 美琴,,,,,
+talk,show,1,
talk,2,白井 黒子,,,,,
+se,play,300200000630,,,,,
+白井 黒子.move,"(-800,290)","(-150,290)",0.5,
wait,1,
talk,3,御坂 美琴,,,,,
+se,play,300200000550,,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
wait,1,
白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,4,白井 黒子,,,,,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,白井 黒子,御坂 美琴,
talk,5,御坂 美琴,,,,,
+se,play,300200000600,,,,,
wait,1.5,
talk,6,御坂 美琴,,,,,
talk,7,白井 黒子,,,,,
talk,8,白井 黒子,,,,,
talk,9,御坂 美琴,,,,,
talk,10,白井 黒子,,,,,
talk,11,御坂 美琴,,,,,
talk,12,白井 黒子,,,,,
talk,13,御坂 美琴,,,,,
talk,14,御坂 美琴,,,,,
bgm,stop,
talk,15,白井 黒子,,,,,
bgm,play,30010006,,,,,
talk,16,御坂 美琴,,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
wait,1,
talk,17,白井 黒子,,,,,
talk,18,御坂 美琴,,,,,
+se,play,300200000600,,,,,
wait,1.5,
talk,19,白井 黒子,,,,,
talk,20,御坂 美琴,,,,,
talk,21,白井 黒子,,,,,
+screen.effect,ef_com_00000_001_007_00,"(-234,0)",0,0,,,
wait,1,
screen.effect,delete,
talk,22,御坂 美琴,,,,,
talk,23,白井 黒子,,,,,
talk,24,白井 黒子,,,,,
talk,25,白井 黒子,,,,,
talk,26,白井 黒子,,,,,
talk,27,御坂 美琴,,,,,
talk,28,御坂 美琴,,,,,
bgm,play,30010007,,,,,
talk,29,白井 黒子,,,,,
talk,30,御坂 美琴,,,,,
talk,31,白井 黒子,,,,,
+白井 黒子.shake,"(0.10,0)","(10,0)",1,
talk,32,御坂 美琴,,,,,
talk,33,御坂 美琴,,,,,
talk,34,白井 黒子,,,,,
talk,35,白井 黒子,,,,,
talk,36,御坂 美琴,,,,,
talk,37,白井 黒子,,,,,
talk,38,御坂 美琴,,,,,
wait,0.5,
白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,39,食蜂 操祈,,,,,
+se,play,300200000240,,,,,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+帆風 潤子.fade,in,0.5,
+place,白井 黒子,御坂 美琴,食蜂 操祈,帆風 潤子,
wait,1,
talk,40,御坂 美琴,,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,41,御坂 美琴,,,,,
talk,42,食蜂 操祈,,,,,
talk,43,帆風 潤子,,,,,
talk,44,食蜂 操祈,,,,,
talk,45,御坂 美琴,,,,,
talk,46,食蜂 操祈,,,,,
bgm,play,30010005,,,,,
talk,47,食蜂 操祈,,,,,
talk,48,食蜂 操祈,,,,,
talk,49,帆風 潤子,,,,,
+帆風 潤子.shake,"(0.10,0)","(10,0)",1,
talk,50,御坂 美琴,,,,,
talk,51,食蜂 操祈,,,,,
talk,52,御坂 美琴,,,,,
talk,53,食蜂 操祈,,,,,
talk,54,食蜂 操祈,,,,,
talk,55,御坂 美琴,,,,,
talk,56,食蜂 操祈,,,,,
talk,57,白井 黒子,,,,,
talk,58,帆風 潤子,,,,,
talk,59,御坂 美琴,,,,,
talk,60,食蜂 操祈,,,,,
talk,61,食蜂 操祈,,,,,
talk,62,御坂 美琴,,,,,
talk,63,食蜂 操祈,,,,,
talk,64,御坂 美琴,,,,,
talk,65,御坂 美琴,,,,,
talk,66,御坂 美琴,,,,,
talk,67,食蜂 操祈,,,,,
+食蜂 操祈.shake,"(0.10,0)","(10,0)",1,
talk,68,帆風 潤子,,,,,
talk,69,白井 黒子,,,,,
talk,70,食蜂 操祈,,,,,
talk,71,食蜂 操祈,,,,,
talk,72,食蜂 操祈,,,,,
talk,73,御坂 美琴,,,,,
talk,74,食蜂 操祈,,,,,
talk,75,食蜂 操祈,,,,,
talk,76,御坂 美琴,,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,77,白井 黒子,,,,,
talk,78,御坂 美琴,,,,,
talk,79,白井 黒子,,,,,
+screen.effect,ef_com_00000_001_007_00,"(-351,0)",0,0,,,
wait,1,
screen.effect,delete,
talk,80,御坂 美琴,,,,,
talk,81,食蜂 操祈,,,,,

wait,2,
fade,out,1,#FFFFFF,0,
image,999999999,1,シーン01,
シーン01.fade,in,0.1,
+talk,show,0,
fade,in,0.5,#FFFFFF,0,
bgm,stop,
control,0,
wait,1,
movie,play,story_event000000109,0,1,1,0,
+bgm,play,10050003,
bgm,stop,
[END],
