#command,param1,param2,param3,param4,
#,
print,イギリス正教必要悪の教会 Chapter13,
stage,7004002,,,,
control,1,
bgm,stop,
chara,25000101,神裂 火織,13,
chara,3000701,土御門 元春,12,
chara,24000101,ステイル,16,
fade,in,1,#000000,0,
+focus,on,ステイル,
+place,ステイル,空白,土御門 元春,
+talk,start,
+talk,show,0,
bgm,play,30010017,1,,
talk,1,ステイル,,,
+talk,show,1,
talk,2,ステイル,,,
talk,3,土御門 元春,,,
talk,4,ステイル,,,
talk,5,ステイル,,,
se,play,300500000030,,,
+stage.shake,"(0.10,0)","(10,0)",1,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",1,0,
talk,6,土御門 元春,,,
talk,7,ステイル,,,
talk,8,ステイル,,,
talk,9,ステイル,,,
talk,10,土御門 元春,,,
talk,11,ステイル,,,
talk,12,ステイル,,,
talk,13,土御門 元春,,,
talk,14,土御門 元春,,,
talk,15,ステイル,,,
talk,16,土御門 元春,,,
talk,17,ステイル,,,
bgm,stop,
talk,18,神裂 火織,,,
+土御門 元春.move,2,1,1,
+神裂 火織.fade,in,0..5,
+place,ステイル,土御門 元春,神裂 火織,
bgm,play,30010012,1,,
talk,19,ステイル,,,
se,play,300700000190,,,
+ステイル.shake,"(0.10,0)","(10,0)",1,
talk,20,神裂 火織,,,
talk,21,ステイル,,,
talk,22,神裂 火織,,,
talk,23,土御門 元春,,,
talk,24,神裂 火織,,,
talk,25,土御門 元春,,,
talk,26,神裂 火織,,,
talk,27,神裂 火織,,,
talk,28,土御門 元春,,,
talk,29,神裂 火織,,,
talk,30,土御門 元春,,,
bgm,play,30010001,1,,
talk,31,上条 当麻,,,
talk,32,土御門 元春,,,
talk,33,上条 当麻,,,
talk,34,土御門 舞夏,,,
talk,35,土御門 元春,,,
talk,36,土御門 舞夏,,,
talk,37,土御門 舞夏,,,
talk,38,土御門 元春,,,
talk,39,土御門 舞夏,,,
talk,40,土御門 元春,,,
土御門 元春.move,1,5,1,
+土御門 元春.fade,out,0.5,
+se,play,300200000102,,,
bgm,stop,
talk,41,ステイル,,,
talk,42,神裂 火織,,,
bgm,play,30010017,1,,
talk,43,ステイル,,,
se,play,300600000110,,,
talk,44,神裂 火織,,,
talk,45,ステイル,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
