#command,param1,param2,param3,param4,
#,サイド別ストーリー: 暗部組織-アイテム チャプター06,
print,絹旗最愛の注文,
control,1,
bgm,stop,
stage,007001001,,,,
bgm,play,30010001,1,,
chara,66000101,浜面 仕上,10,
chara,18000201,絹旗 最愛,10,
+浜面 仕上.fade,out,0.1,
+絹旗 最愛.fade,out,0.1,
+talk,show,0,

place,絹旗 最愛,浜面 仕上,
talk,start,
+talk,show,0,
+fade,in,1,#000000,0,
浜面 仕上.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
talk,1,絹旗 最愛,,,
+talk,show,1,
talk,2,絹旗 最愛,,,
talk,3,浜面 仕上,,,
talk,4,浜面 仕上,,,
talk,5,浜面 仕上,,,
talk,6,絹旗 最愛,,,
talk,7,絹旗 最愛,,,
talk,8,浜面 仕上,,,
talk,9,絹旗 最愛,,,
talk,10,絹旗 最愛,,,
talk,11,絹旗 最愛,,,
talk,12,絹旗 最愛,,,
talk,13,浜面 仕上,,,
talk,14,絹旗 最愛,,,
talk,15,絹旗 最愛,,,
talk,16,絹旗 最愛,,,
talk,17,絹旗 最愛,,,
talk,18,浜面 仕上,,,
talk,19,浜面 仕上,,,
talk,20,絹旗 最愛,,,
talk,21,浜面 仕上,,,
talk,22,絹旗 最愛,,,
talk,23,浜面 仕上,,,
talk,24,絹旗 最愛,,,
talk,25,絹旗 最愛,,,
talk,26,浜面 仕上,,,
talk,27,絹旗 最愛,,,
talk,28,浜面 仕上,,,
fade,out,1,#000000,0,
+talk,show,0,
bgm,stop,
#,#【黒画面】,
stage,#000000,,,,
浜面 仕上.fade,out,0.1,
+絹旗 最愛.fade,out,0.1,
wait,1,
fade,in,1,#000000,0,
talk,29,絹旗 最愛,,,
+talk,show,1,
talk,30,浜面 仕上,,,
fade,out,1,#000000,0,
+talk,show,0,
wait,1,
stage,7004001,,,,
bgm,play,30010002,1,,
fade,in,1,#000000,0,
絹旗 最愛.fade,in,0.5,
talk,31,絹旗 最愛,,,
+talk,show,1,
浜面 仕上.fade,in,0.5,
talk,32,浜面 仕上,,,
talk,33,絹旗 最愛,,,
talk,34,浜面 仕上,,,
talk,35,絹旗 最愛,,,
talk,36,浜面 仕上,,,
talk,37,絹旗 最愛,,,
talk,38,浜面 仕上,,,
talk,39,絹旗 最愛,,,
talk,40,浜面 仕上,,,
talk,41,絹旗 最愛,,,
talk,42,絹旗 最愛,,,
talk,43,絹旗 最愛,,,
talk,44,絹旗 最愛,,,
talk,45,浜面 仕上,,,
wait,1,
fade,out,1,#FFFFFF,
bgm,stop,
wait,1,
[End],







