#command,param1,param2,param3,param4,
#,
control,1,
stage,5003003,,,,
bgm,stop,
chara,1000201,上条 当麻,10,
chara,19000201,フレンダ,11,
+place,上条 当麻,フレンダ,
+フレンダ.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+focus,on,上条 当麻,
bgm,play,30010004,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,フレンダ,,,
+talk,show,1,
talk,2,上条 当麻,,,
talk,3,フレンダ,,,
talk,4,フレンダ,,,
talk,5,上条 当麻,,,
talk,6,上条 当麻,,,
talk,7,フレンダ,,,
talk,8,上条 当麻,,,
talk,9,フレンダ,,,
talk,10,フレンダ,,,
talk,11,上条 当麻,,,
talk,12,フレンダ,,,
talk,13,フレンダ,,,
talk,14,フレンダ,,,
talk,15,上条 当麻,,,
talk,16,フレンダ,,,
talk,17,フレンダ,,,
talk,18,上条 当麻,,,
talk,19,フレンダ,,,
talk,20,上条 当麻,,,
talk,21,フレンダ,,,
talk,22,フレンダ,,,
talk,23,上条 当麻,,,
talk,24,フレンダ,,,
talk,25,フレンダ,,,
talk,26,フレンダ,,,
talk,27,フレンダ,,,
talk,28,フレンダ,,,
talk,29,フレンダ,,,
talk,30,上条 当麻,,,
talk,31,フレンダ,,,
talk,32,フレンダ,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
