#command,param1,param2,param3,param4,param5,
#,
stage,3004001,,,,,
control,1,
bgm,stop,
chara,93000101,帆風 潤子,10,
chara,10000101,食蜂 操祈,14,
place,帆風 潤子,食蜂 操祈,
wait,0.5,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
+focus,on,食蜂 操祈,
bgm,play,30010024,,,,
wait,0.5,
talk,1,食蜂 操祈,,,,
+talk,show,
talk,2,食蜂 操祈,,,,
talk,3,帆風 潤子,,,,
talk,4,食蜂 操祈,,,,
talk,5,帆風 潤子,,,,
se,play,300400000650,,,,
wait,0.5,
talk,6,食蜂 操祈,,,,
talk,7,帆風 潤子,,,,
se,play,300400000650,,,,
wait,0.5,
talk,8,食蜂 操祈,,,,
talk,9,帆風 潤子,,,,
talk,10,帆風 潤子,,,,
talk,11,帆風 潤子,,,,
talk,12,食蜂 操祈,,,,
talk,13,食蜂 操祈,,,,
talk,14,帆風 潤子,,,,
talk,15,食蜂 操祈,,,,
talk,16,食蜂 操祈,,,,
talk,17,食蜂 操祈,,,,
+se,play,300100000380,,,,
wait,2,
talk,18,帆風 潤子,,,,
talk,19,食蜂 操祈,,,,
talk,20,帆風 潤子,,,,
bgm,play,30010003,,,,
talk,21,食蜂 操祈,,,,
talk,22,食蜂 操祈,,,,
talk,23,帆風 潤子,,,,
talk,24,食蜂 操祈,,,,
talk,25,食蜂 操祈,,,,
talk,26,帆風 潤子,,,,
talk,27,食蜂 操祈,,,,
talk,28,帆風 潤子,,,,
+帆風 潤子.shake,"(0.10,0)","(10,0)",1,
talk,29,食蜂 操祈,,,,
talk,30,帆風 潤子,,,,
talk,31,食蜂 操祈,,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
