#command,param1,param2,param3,param4,
#,
print,魔術サイドストーリー Chapter13,
stage,015001003,,,,
control,1,
bgm,stop,
chara,34000101,サーシャ,11,
fade,in,1,#000000,0,
+focus,off,サーシャ,
+place,サーシャ,
+talk,start,
+talk,show,0,
bgm,play,30010001,,,
se,play,300100000430,,,
wait,1,
talk,1,ワシリーサ,,,
+talk,show,1,
talk,2,サーシャ,,,
talk,3,ワシリーサ,,,
talk,4,ワシリーサ,,,
talk,5,サーシャ,,,
talk,6,サーシャ,,,
talk,7,ワシリーサ,,,
talk,8,サーシャ,,,
talk,9,ワシリーサ,,,
talk,10,サーシャ,,,
talk,11,ワシリーサ,,,
talk,12,サーシャ,,,
talk,13,ワシリーサ,,,
talk,14,サーシャ,,,
talk,15,ワシリーサ,,,
talk,16,ワシリーサ,,,
talk,17,サーシャ,,,
talk,18,ワシリーサ,,,
talk,19,サーシャ,,,
talk,20,ワシリーサ,,,
se,play,300100000440,,,
wait,1,
bgm,play,30010011,,,
talk,21,サーシャ,,,
talk,22,サーシャ,,,
talk,23,サーシャ,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
