#command,param1,param2,param3,param4,
#,
control,1,
stage,26001004,,,,
bgm,stop,,,,
chara,10000301,食蜂 操祈,15,
chara,57000101,木原 幻生,10,
+place,食蜂 操祈,
+focus,on,食蜂 操祈,
image,400380108,1,シーン01,,
シーン01.fade,in,0.5,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
bgm,play,30010010,,,
wait,0.5,
talk,1,食蜂 操祈,,,
+talk,show,1,
talk,2,食蜂 操祈,,,
talk,3,食蜂 操祈,,,
talk,4,食蜂 操祈,,,
talk,5,食蜂 操祈,,,
talk,6,木原 幻生,,,
talk,7,食蜂 操祈,,,
se,play,300800000240,,,
image,400380108,2,シーン02,,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,
se,play,300600000080,,,
talk,8,木原 幻生,,,
talk,9,食蜂 操祈,,,
image,400380108,3,シーン03,,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
se,play,300800000470,,,
wait,1,
talk,10,木原 幻生,,,
talk,11,木原 幻生,,,
talk,12,食蜂 操祈,,,
bgm,stop,,,,
wait,2,
se,play,300700000990,,,
wait,0.5,
se,play,300700001000,,,
wait,1,
image,400380108,4,シーン04,,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
bgm,play,30010017,,,
talk,13,食蜂 操祈,,,
talk,14,木原 幻生,,,
talk,15,木原 幻生,,,
talk,16,食蜂 操祈,,,
place,木原 幻生,食蜂 操祈,
+木原 幻生.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+focus,on,木原 幻生,
シーン04.fade,out,0.5,
talk,17,木原 幻生,,,
talk,18,木原 幻生,,,
talk,19,食蜂 操祈,,,
talk,20,木原 幻生,,,
image,400380108,5,シーン05,,
シーン05.fade,in,0.5,
wait,1,
talk,21,木原 幻生,,,
talk,22,木原 幻生,,,
talk,23,木原 幻生,,,
talk,24,木原 幻生,,,
place,木原 幻生,
+focus,on,木原 幻生,
シーン05.fade,out,0.5,
talk,25,木原 幻生,,,
,,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
bgm,stop,,,,
image,400380108,6,シーン06,,
シーン06.fade,in,0.5,
wait,2,
bgm,play,30010019,,,
se,play,300200000100,,,
fade,in,1,#FFFFFF,0,
talk,26,食蜂 操祈,,,
+talk,show,1,
talk,27,食蜂 操祈,,,
talk,28,食蜂 操祈,,,
talk,29,食蜂 操祈,,,
place,食蜂 操祈,
+食蜂 操祈.fade,in,0.5,
+focus,on,食蜂 操祈,
シーン06.fade,out,0.5,
talk,30,食蜂 操祈,,,
talk,31,食蜂 操祈,,,
talk,32,食蜂 操祈,,,
talk,33,食蜂 操祈,,,
talk,34,食蜂 操祈,,,
bgm,stop,,,,
se,play,300200000020,,,
talk,35,食蜂 操祈,,,
talk,36,食蜂 操祈,,,
talk,37,食蜂 操祈,,,
talk,38,食蜂 操祈,,,
talk,39,食蜂 操祈,,,
talk,40,食蜂 操祈,,,
wait,2,
image,400380108,7,シーン07,,
シーン07.fade,in,0.5,
bgm,play,30010020,,,
wait,1,
talk,41,食蜂 操祈,,,
talk,42,食蜂 操祈,,,
talk,43,食蜂 操祈,,,
se,play,300100000370,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
